,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
44,Ross Barkley,eng,MF,Luton Town,29,1993,29.1,1474,1329,139,94,4,24,45,14,16,8,8,0,1218,6,31,Matches
45,Harvey Barnes,eng,"FW,MF",Newcastle Utd,25,1997,8.9,272,262,8,2,1,2,12,4,0,0,0,0,208,2,13,Matches
46,Chris Basham,eng,"DF,MF",Sheffield Utd,35,1988,3.6,138,125,13,1,0,1,4,12,0,0,0,0,103,0,2,Matches
47,Calvin Bassey,ng,DF,Fulham,23,1999,25.6,1674,1582,91,34,0,12,3,3,0,0,0,0,1440,1,20,Matches
48,Owen Beck,wls,DF,Liverpool,20,2002,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
49,Donny van de Beek,nl,DF,Manchester Utd,26,1997,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
50,Amari'i Bell,jm,DF,Luton Town,29,1994,19.1,835,783,48,15,2,3,13,29,0,0,0,0,645,4,23,Matches
51,Jean-Ricner Bellegarde,fr,"MF,FW",Wolves,25,1998,10.6,314,297,15,4,1,0,30,1,6,3,3,0,241,2,11,Matches
52,Anis Ben Slimane,tn,MF,Sheffield Utd,22,2001,4.7,139,129,7,1,1,0,0,0,0,0,0,0,92,3,7,Matches
53,Saïd Benrahma,dz,"FW,MF",West Ham,27,1995,6.9,257,253,2,2,5,0,17,0,0,0,0,0,193,2,9,Matches
54,Rodrigo Bentancur,uy,MF,Tottenham,26,1997,11.2,800,786,10,9,4,0,9,0,0,0,0,0,674,4,26,Matches
55,Daniel Bentley,eng,GK,Wolves,30,1993,4.3,144,98,46,13,0,0,0,0,0,0,0,0,96,0,0,Matches
56,Jóhann Berg Guðmundsson,is,"MF,FW",Burnley,32,1990,13.2,544,465,77,28,4,5,70,7,39,18,12,5,396,2,14,Matches
57,Sander Berge,no,MF,Burnley,25,1998,33.4,1562,1529,31,21,7,10,12,1,0,0,0,0,1376,2,14,Matches
58,Luke Berry,eng,"MF,DF",Luton Town,31,1992,3.6,99,83,16,4,0,0,8,2,6,5,1,0,64,0,3,Matches
59,Beto,gw,FW,Everton,25,1998,10.6,180,179,1,0,1,1,5,1,0,0,0,0,108,0,6,Matches
60,Jordan Beyer,de,DF,Burnley,23,2000,13.7,861,840,19,14,1,5,0,4,0,0,0,0,766,2,9,Matches
61,Philip Billing,dk,MF,Bournemouth,27,1996,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17,Matches
62,Yves Bissouma,ml,MF,Tottenham,26,1996,23.0,1842,1787,51,48,3,4,1,3,0,0,0,0,1689,4,19,Matches
63,Benicio Boaitey,eng,"FW,DF",Brighton,19,2004,0.4,20,19,1,0,0,0,0,1,0,0,0,0,13,0,0,Matches
64,Oscar Bobb,no,"FW,MF",Manchester City,20,2003,3.4,177,169,8,3,3,0,5,4,1,0,0,0,155,0,5,Matches
65,Jayden Bogle,eng,DF,Sheffield Utd,23,2000,31.0,968,802,164,8,1,3,40,155,0,0,0,0,684,2,32,Matches
66,Willy Boly,ci,DF,Nott'ham Forest,32,1991,16.0,671,597,71,15,1,1,1,56,0,0,0,0,503,3,10,Matches
67,Sven Botman,nl,DF,Newcastle Utd,23,2000,15.3,1017,981,36,32,0,5,0,2,0,0,0,0,921,0,3,Matches
68,Jarrod Bowen,eng,FW,West Ham,26,1996,33.5,702,641,59,2,5,3,75,3,32,27,0,0,484,2,52,Matches
69,Conor Bradley,nir,DF,Liverpool,20,2003,8.4,530,445,85,10,3,1,18,75,0,0,0,0,419,0,16,Matches
70,Jarrad Branthwaite,eng,DF,Everton,21,2002,34.6,1385,1366,13,6,0,6,1,7,0,0,0,0,1105,6,12,Matches
71,Ben Brereton,cl,"FW,MF",Sheffield Utd,24,1999,12.3,265,246,19,0,0,0,9,4,1,0,0,0,200,0,8,Matches
72,Rhian Brewster,eng,"FW,MF",Sheffield Utd,23,2000,3.8,76,73,3,0,0,0,3,0,0,0,0,0,52,0,1,Matches
73,Armando Broja,al,FW,Chelsea,21,2001,5.0,94,87,7,1,0,0,1,0,0,0,0,0,83,0,0,Matches
74,Armando Broja,al,FW,Fulham,21,2001,1.0,27,26,1,0,0,0,1,0,0,0,0,0,19,0,1,Matches
