,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
176,Eberechi Eze,eng,"MF,FW",Crystal Palace,25,1998,22.8,110,4.82,54,27,11,7,10,1,11,0.48,8,0,1,0,2,0,Matches
177,Łukasz Fabiański,pl,GK,West Ham,38,1985,8.0,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
178,Romain Faivre,fr,"MF,FW",Bournemouth,25,1998,0.5,1,2.20,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
179,Ansu Fati,es,"MF,FW",Brighton,20,2002,5.8,23,3.96,16,0,1,5,0,1,3,0.52,2,0,0,1,0,0,Matches
180,Felipe,br,DF,Nott'ham Forest,34,1989,4.2,4,0.97,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
181,Evan Ferguson,ie,FW,Brighton,18,2004,15.2,22,1.45,15,0,2,1,3,1,1,0.07,0,0,0,0,1,0,Matches
182,Bruno Fernandes,pt,"MF,FW",Manchester Utd,28,1994,34.6,210,6.06,143,48,7,9,1,2,19,0.55,12,3,2,2,0,0,Matches
183,Enzo Fernández,ar,MF,Chelsea,22,2001,24.5,82,3.34,69,5,0,3,5,0,7,0.29,5,1,0,0,1,0,Matches
184,John Fleck,sct,"MF,DF",Sheffield Utd,31,1991,1.0,4,3.91,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
185,Mark Flekken,nl,GK,Brentford,30,1993,36.5,10,0.27,3,7,0,0,0,0,3,0.08,1,2,0,0,0,0,Matches
186,Phil Foden,eng,"FW,MF",Manchester City,23,2000,31.7,144,4.54,111,9,9,6,8,1,21,0.66,16,1,1,0,3,0,Matches
187,Wes Foderingham,eng,GK,Sheffield Utd,32,1991,29.4,4,0.14,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
188,Pablo Fornals,es,"MF,FW",West Ham,27,1996,4.7,16,3.37,13,0,0,0,1,2,1,0.21,0,0,0,0,0,1,Matches
189,Omari Forson,eng,FW,Manchester Utd,19,2004,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
190,Lyle Foster,za,"FW,MF",Burnley,22,2000,21.1,41,1.95,35,0,2,3,1,0,4,0.19,4,0,0,0,0,0,Matches
191,Matheus França,br,"MF,FW",Crystal Palace,19,2004,2.6,8,3.10,4,3,0,0,1,0,2,0.78,1,0,0,0,1,0,Matches
192,Nathan Fraser,ie,FW,Wolves,18,2005,2.1,6,2.92,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
193,Cody Gakpo,nl,"FW,MF",Liverpool,24,1999,18.3,73,3.98,47,1,6,12,5,2,10,0.55,6,0,1,2,1,0,Matches
194,Conor Gallagher,eng,MF,Chelsea,23,2000,34.8,109,3.14,78,15,5,4,1,6,14,0.40,7,5,0,1,0,1,Matches
195,Idrissa Gana Gueye,sn,MF,Everton,33,1989,20.9,52,2.48,37,0,0,5,4,6,4,0.19,4,0,0,0,0,0,Matches
196,Alejandro Garnacho,ar,FW,Manchester Utd,19,2004,28.5,119,4.17,80,0,13,13,12,1,15,0.53,10,0,1,1,2,1,Matches
197,James Garner,eng,MF,Everton,22,2001,33.4,98,2.94,58,22,3,6,4,5,8,0.24,3,1,0,1,1,2,Matches
198,Saman Ghoddos,ir,DF,Brentford,29,1993,8.2,20,2.44,10,5,1,0,3,1,0,0.00,0,0,0,0,0,0,Matches
199,Morgan Gibbs-White,eng,"MF,FW",Nott'ham Forest,23,2000,35.1,149,4.25,86,38,9,7,8,1,18,0.51,14,3,0,1,0,0,Matches
200,Bryan Gil,es,"FW,MF",Tottenham,22,2001,2.3,9,3.88,8,0,0,1,0,0,1,0.43,1,0,0,0,0,0,Matches
201,Alfie Gilchrist,eng,DF,Chelsea,19,2003,2.3,3,1.31,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
202,Billy Gilmour,sct,MF,Brighton,22,2001,23.6,69,2.93,59,5,0,2,3,0,6,0.25,5,0,0,1,0,0,Matches
203,Ben Godfrey,eng,DF,Everton,25,1998,12.4,17,1.37,9,1,0,5,0,2,3,0.24,1,0,0,1,0,1,Matches
204,André Gomes,pt,"MF,FW",Everton,30,1993,5.6,18,3.18,13,0,1,2,1,1,1,0.18,1,0,0,0,0,0,Matches
205,João Gomes,br,MF,Wolves,22,2001,29.4,65,2.21,48,4,2,4,2,5,4,0.14,3,0,0,1,0,0,Matches
206,Toti Gomes,pt,DF,Wolves,24,1999,30.8,21,0.68,16,1,1,3,0,0,4,0.13,3,0,0,1,0,0,Matches
207,Joe Gomez,eng,DF,Liverpool,26,1997,19.8,51,2.57,43,0,1,4,3,0,5,0.25,4,0,0,1,0,0,Matches
208,Sergio Gómez,es,"FW,MF",Manchester City,22,2000,0.6,2,3.33,1,0,1,0,0,0,2,3.33,1,0,1,0,0,0,Matches
209,Enso Gonzalez,py,"MF,DF",Wolves,18,2005,0.0,1,90.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
210,Anthony Gordon,eng,FW,Newcastle Utd,22,2001,32.1,143,4.45,86,18,13,11,13,2,29,0.90,13,2,5,4,5,0,Matches
211,Kaide Gordon,eng,FW,Liverpool,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
212,Daniel Gore,eng,MF,Manchester Utd,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
213,Ryan Gravenberch,nl,MF,Liverpool,21,2002,12.5,44,3.54,36,0,2,6,0,0,0,0.00,0,0,0,0,0,0,Matches
214,Ivo Grbić,hr,GK,Sheffield Utd,27,1996,8.6,2,0.23,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
215,Jack Grealish,eng,"FW,MF",Manchester City,27,1995,11.2,54,4.82,46,0,1,2,5,0,4,0.36,4,0,0,0,0,0,Matches
216,Pascal Groß,de,"MF,DF",Brighton,32,1991,34.6,185,5.35,114,54,5,9,2,1,16,0.46,9,2,4,1,0,0,Matches
217,Marc Guéhi,eng,DF,Crystal Palace,23,2000,22.5,22,0.98,17,0,0,2,2,1,2,0.09,2,0,0,0,0,0,Matches
218,Bruno Guimarães,br,MF,Newcastle Utd,25,1997,36.3,143,3.94,110,8,10,3,6,6,19,0.52,12,0,4,2,1,0,Matches
219,Malo Gusto,fr,DF,Chelsea,20,2003,19.5,52,2.67,47,2,1,0,0,2,7,0.36,7,0,0,0,0,0,Matches
220,Joško Gvardiol,hr,DF,Manchester City,21,2002,25.9,54,2.09,40,1,5,2,4,2,7,0.27,6,0,0,0,1,0,Matches
221,Erling Haaland,no,FW,Manchester City,23,2000,28.4,59,2.08,39,0,3,10,6,1,11,0.39,5,0,1,3,2,0,Matches
222,Antwoine Hackford,eng,FW,Sheffield Utd,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
223,Lewis Hall,eng,DF,Newcastle Utd,18,2004,8.7,20,2.30,14,1,3,1,1,0,3,0.35,3,0,0,0,0,0,Matches
224,Gustavo Hamer,nl,MF,Sheffield Utd,26,1997,32.3,116,3.59,73,22,10,7,4,0,12,0.37,9,1,2,0,0,0,Matches
225,Luke Harris,wls,MF,Fulham,18,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
226,Jack Harrison,eng,"MF,FW",Everton,26,1996,24.6,66,2.68,46,2,3,7,6,2,7,0.28,5,0,0,1,1,0,Matches
227,Daiki Hashioka,jp,DF,Luton Town,24,1999,6.6,8,1.21,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
228,Kai Havertz,de,"MF,FW",Arsenal,24,1999,29.3,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0,Matches
229,Jan Paul van Hecke,nl,DF,Brighton,23,2000,26.3,37,1.41,35,0,0,1,0,1,3,0.11,3,0,0,0,0,0,Matches
230,Hwang Hee-chan,kr,"FW,MF",Wolves,27,1996,23.5,48,2.04,29,0,8,6,4,1,9,0.38,4,0,3,1,1,0,Matches
231,Dean Henderson,eng,GK,Crystal Palace,26,1997,18.0,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
232,Rico Henry,eng,DF,Brentford,26,1997,4.5,13,2.92,10,0,3,0,0,0,3,0.67,2,0,1,0,0,0,Matches
233,Son Heung-min,kr,FW,Tottenham,31,1992,32.6,129,3.96,108,0,11,6,3,1,17,0.52,13,0,3,0,1,0,Matches
234,Aaron Hickey,sct,DF,Brentford,21,2002,7.9,7,0.88,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
235,James Hill,eng,DF,Bournemouth,21,2002,0.8,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
236,Jack Hinshelwood,eng,DF,Brighton,18,2005,9.7,14,1.45,11,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
237,Mason Holgate,eng,DF,Sheffield Utd,26,1996,7.9,4,0.51,2,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
238,Callum Hudson-Odoi,eng,"FW,MF",Nott'ham Forest,22,2000,20.6,82,3.98,63,4,8,4,2,1,6,0.29,4,0,1,0,1,0,Matches
239,Will Hughes,eng,MF,Crystal Palace,28,1995,21.0,48,2.29,34,9,1,0,2,2,5,0.24,5,0,0,0,0,0,Matches
240,Pierre Højbjerg,dk,MF,Tottenham,27,1995,14.6,39,2.68,36,0,2,1,0,0,2,0.14,2,0,0,0,0,0,Matches
241,Rasmus Højlund,dk,FW,Manchester Utd,20,2003,24.0,58,2.42,43,0,5,4,3,3,4,0.17,2,0,2,0,0,0,Matches
242,Igor,br,DF,Brighton,25,1998,18.2,25,1.38,21,2,1,0,0,1,2,0.11,2,0,0,0,0,0,Matches
243,Danny Ings,eng,FW,West Ham,31,1992,4.5,17,3.79,8,0,3,4,1,1,3,0.67,0,0,1,1,1,0,Matches
244,Tim Iroegbunam,eng,MF,Aston Villa,20,2003,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
245,Alexander Isak,se,FW,Newcastle Utd,23,1999,25.1,72,2.87,45,0,12,11,4,0,10,0.40,4,0,3,2,1,0,Matches
246,Alex Iwobi,ng,MF,Everton,27,1996,1.6,12,7.77,6,1,2,3,0,0,0,0.00,0,0,0,0,0,0,Matches
247,Alex Iwobi,ng,"FW,MF",Fulham,27,1996,24.4,103,4.23,87,0,6,9,0,1,10,0.41,8,0,0,2,0,0,Matches
248,Nicolas Jackson,sn,FW,Chelsea,22,2001,31.1,95,3.05,60,1,18,8,6,2,11,0.35,7,0,2,2,0,0,Matches
249,Reece James,eng,DF,Chelsea,23,1999,4.7,15,3.22,13,1,0,1,0,0,3,0.64,2,0,0,1,0,0,Matches
250,Vitaly Janelt,de,"MF,DF",Brentford,25,1998,33.9,80,2.36,69,2,1,3,3,2,4,0.12,3,0,0,0,1,0,Matches
251,Daniel Jebbison,eng,FW,Sheffield Utd,19,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
252,Mathias Jensen,dk,MF,Brentford,27,1996,24.5,87,3.55,48,35,0,0,3,1,8,0.33,5,2,0,0,1,0,Matches
253,Gabriel Jesus,br,FW,Arsenal,26,1997,16.4,59,3.59,37,1,9,5,3,4,8,0.49,4,1,1,1,1,0,Matches
254,Raúl Jiménez,mx,FW,Fulham,32,1991,15.5,27,1.74,15,0,4,6,1,1,3,0.19,0,0,1,2,0,0,Matches
255,João Pedro,br,"FW,MF",Brighton,21,2001,22.7,91,4.01,64,0,7,10,9,1,11,0.48,5,0,2,2,2,0,Matches
256,Joelinton,br,"MF,FW",Newcastle Utd,26,1996,14.2,47,3.30,37,0,6,4,0,0,3,0.21,2,0,0,1,0,0,Matches
257,Ryan John Giles,eng,"DF,MF",Luton Town,23,2000,5.6,12,2.15,8,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
258,Ben Johnson,eng,"DF,FW",West Ham,23,2000,6.0,9,1.49,7,0,0,0,2,0,1,0.17,1,0,0,0,0,0,Matches
259,Brennan Johnson,wls,FW,Tottenham,22,2001,23.2,70,3.02,55,0,4,6,3,2,13,0.56,11,0,0,1,0,1,Matches
260,Brennan Johnson,wls,"FW,MF",Nott'ham Forest,22,2001,2.6,7,2.66,3,0,2,1,1,0,3,1.14,1,0,1,0,1,0,Matches
261,Joseph Johnson,eng,DF,Luton Town,17,2006,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
262,Sam Johnstone,eng,GK,Crystal Palace,30,1993,20.0,2,0.10,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches
263,Curtis Jones,eng,MF,Liverpool,22,2001,13.0,36,2.78,28,0,3,3,1,1,3,0.23,3,0,0,0,0,0,Matches
264,Jorginho,it,MF,Arsenal,31,1991,10.2,27,2.64,25,0,0,1,0,1,5,0.49,5,0,0,0,0,0,Matches
265,Diogo Jota,pt,FW,Liverpool,26,1996,12.7,48,3.77,36,0,5,3,4,0,14,1.10,7,0,4,1,2,0,Matches
266,Mads Juel Andersen,dk,DF,Luton Town,25,1997,4.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
267,Hamed Junior Traorè,ci,MF,Bournemouth,23,2000,0.5,4,7.66,1,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
268,Mathias Jørgensen,dk,DF,Brentford,33,1990,12.1,12,0.99,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
269,Issa Kaboré,bf,DF,Luton Town,22,2001,19.2,32,1.67,25,0,2,2,1,2,4,0.21,3,0,0,1,0,0,Matches
270,Sasa Kalajdzic,at,FW,Wolves,26,1997,1.8,5,2.71,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
271,Boubacar Kamara,fr,MF,Aston Villa,23,1999,18.4,38,2.07,33,0,0,2,1,2,3,0.16,3,0,0,0,0,0,Matches
272,Willy Kambwala,fr,DF,Manchester Utd,18,2004,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
273,Thomas Kaminski,be,GK,Luton Town,30,1992,37.8,3,0.08,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
274,Loris Karius,de,GK,Newcastle Utd,30,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
275,Michael Keane,eng,DF,Everton,30,1993,4.9,4,0.82,3,0,0,1,0,0,1,0.21,0,0,0,1,0,0,Matches
276,Thilo Kehrer,de,"DF,MF",West Ham,26,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
277,Caoimhín Kelleher,ie,GK,Liverpool,24,1998,10.0,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
278,Lloyd Kelly,eng,DF,Bournemouth,24,1998,17.3,29,1.67,24,2,1,0,1,1,3,0.17,3,0,0,0,0,0,Matches
279,Omari Kellyman,eng,FW,Aston Villa,17,2005,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
280,Milos Kerkez,hu,DF,Bournemouth,19,2003,21.9,32,1.46,25,0,0,4,2,1,4,0.18,2,0,0,0,1,1,Matches
281,Kaine Kesler-Hayden,eng,"MF,DF",Aston Villa,20,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
282,Max Kilman,eng,DF,Wolves,26,1997,38.0,39,1.03,34,0,2,2,0,1,0,0.00,0,0,0,0,0,0,Matches
283,Jakub Kiwior,pl,DF,Arsenal,23,2000,10.5,13,1.24,10,2,0,0,1,0,4,0.38,3,1,0,0,0,0,Matches
284,Justin Kluivert,nl,"MF,FW",Bournemouth,24,1999,21.3,59,2.77,37,0,9,6,4,3,5,0.23,3,0,1,0,0,1,Matches
285,Luca Koleosho,it,"MF,FW",Burnley,18,2004,10.8,28,2.59,12,0,11,2,3,0,6,0.56,2,0,3,0,1,0,Matches
286,Ibrahima Konaté,fr,DF,Liverpool,24,1999,17.5,24,1.37,24,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
287,Ezri Konsa,eng,DF,Aston Villa,25,1997,34.1,34,1.00,25,1,2,2,3,1,6,0.18,3,1,0,0,1,1,Matches
288,Cheikhou Kouyaté,sn,MF,Nott'ham Forest,33,1989,2.4,8,3.40,5,0,0,2,0,1,1,0.42,1,0,0,0,0,0,Matches
289,Mateo Kovačić,hr,MF,Manchester City,29,1994,17.2,54,3.14,47,0,2,4,1,0,6,0.35,5,0,0,1,0,0,Matches
290,Emil Krafth,se,DF,Newcastle Utd,28,1994,10.1,18,1.77,13,3,1,0,1,0,1,0.10,1,0,0,0,0,0,Matches
291,Mohammed Kudus,gh,"FW,MF",West Ham,22,2000,27.6,100,3.62,53,1,25,8,12,1,16,0.58,8,0,3,3,2,0,Matches
292,Dejan Kulusevski,se,"FW,MF",Tottenham,23,2000,30.7,127,4.14,104,1,9,11,0,2,8,0.26,6,0,1,0,0,1,Matches
293,Adam Lallana,eng,"MF,FW",Brighton,35,1988,9.4,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches
294,Tariq Lamptey,gh,"DF,FW",Brighton,22,2000,10.2,17,1.68,15,0,1,1,0,0,3,0.30,3,0,0,0,0,0,Matches
295,Aymeric Laporte,es,DF,Manchester City,29,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
296,Yasser Larouci,dz,DF,Sheffield Utd,22,2001,5.9,8,1.36,5,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
297,Jamaal Lascelles,eng,DF,Newcastle Utd,29,1993,12.0,8,0.67,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
298,Roméo Lavia,be,MF,Chelsea,19,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
299,Mario Lemina,ga,MF,Wolves,29,1993,33.0,47,1.42,42,0,0,4,1,0,5,0.15,4,0,0,0,1,0,Matches
300,Clément Lenglet,fr,DF,Aston Villa,28,1995,12.8,15,1.17,11,1,0,3,0,0,1,0.08,1,0,0,0,0,0,Matches
301,Bernd Leno,de,GK,Fulham,31,1992,38.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
302,Jefferson Lerma,co,"MF,DF",Crystal Palace,28,1994,26.7,55,2.06,49,0,1,3,1,1,4,0.15,4,0,0,0,0,0,Matches
303,Rico Lewis,eng,"DF,MF",Manchester City,18,2004,9.0,15,1.67,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
304,Keane Lewis-Potter,eng,"FW,DF",Brentford,22,2001,16.0,33,2.06,21,0,6,4,2,0,2,0.12,1,0,0,1,0,0,Matches
305,Victor Lindelöf,se,DF,Manchester Utd,29,1994,14.8,19,1.29,19,0,0,0,0,0,3,0.20,3,0,0,0,0,0,Matches
306,Valentino Livramento,eng,DF,Newcastle Utd,20,2002,14.6,36,2.47,28,0,2,1,3,2,5,0.34,3,0,1,0,1,0,Matches
307,Giovani Lo Celso,ar,MF,Tottenham,27,1996,5.6,28,4.96,22,2,1,2,1,0,3,0.53,3,0,0,0,0,0,Matches
308,Tom Lockyer,wls,DF,Luton Town,28,1994,13.0,10,0.77,9,0,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
309,Sean Longstaff,eng,MF,Newcastle Utd,25,1997,30.5,51,1.67,43,1,1,3,3,0,7,0.23,3,1,1,1,1,0,Matches
310,Max Lowe,eng,"DF,MF",Sheffield Utd,26,1997,5.6,8,1.43,7,0,0,1,0,0,1,0.18,1,0,0,0,0,0,Matches
311,Douglas Luiz,br,MF,Aston Villa,25,1998,33.3,117,3.52,61,34,6,10,5,1,10,0.30,5,4,0,0,1,0,Matches
312,Saša Lukić,rs,MF,Fulham,26,1996,12.5,27,2.17,19,0,1,6,0,1,0,0.00,0,0,0,0,0,0,Matches
313,Ian Maatsen,nl,"FW,MF",Chelsea,21,2002,2.3,5,2.15,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
314,Alexis Mac Allister,ar,MF,Liverpool,24,1998,28.9,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0,Matches
315,James Maddison,eng,MF,Tottenham,26,1996,23.7,161,6.79,110,22,10,6,10,3,19,0.80,13,1,2,1,1,1,Matches
316,Noni Madueke,eng,FW,Chelsea,21,2002,11.7,51,4.35,34,1,8,2,6,0,8,0.68,4,0,1,0,3,0,Matches
317,Gabriel Magalhães,br,DF,Arsenal,25,1997,33.8,23,0.68,20,1,0,1,0,1,3,0.09,3,0,0,0,0,0,Matches
318,Harry Maguire,eng,DF,Manchester Utd,30,1993,18.4,24,1.31,19,0,0,1,1,3,4,0.22,2,0,0,1,1,0,Matches
319,Kobbie Mainoo,eng,MF,Manchester Utd,18,2005,21.4,40,1.87,31,0,3,3,2,1,8,0.37,3,0,2,2,1,0,Matches
320,Orel Mangala,be,MF,Nott'ham Forest,25,1998,17.4,20,1.15,17,0,0,0,1,2,2,0.12,1,0,0,0,0,1,Matches
321,Benson Manuel,ao,"MF,FW",Burnley,26,1997,1.3,6,4.70,3,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
322,Solly March,eng,"FW,DF",Brighton,29,1994,6.2,22,3.57,8,8,2,1,2,1,2,0.32,0,1,0,0,1,0,Matches
323,Anthony Martial,fr,FW,Manchester Utd,27,1995,5.0,11,2.21,9,0,0,1,1,0,1,0.20,0,0,0,0,1,0,Matches
324,Gabriel Martinelli,br,FW,Arsenal,22,2001,22.4,92,4.10,63,6,12,8,1,2,11,0.49,7,1,1,2,0,0,Matches
325,Emiliano Martínez,ar,GK,Aston Villa,30,1992,33.5,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
326,Lisandro Martínez,ar,DF,Manchester Utd,25,1998,7.2,7,0.98,6,0,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches
327,Han-Noah Massengo,fr,"MF,DF",Burnley,22,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
328,Pape Matar Sarr,sn,MF,Tottenham,20,2002,23.0,52,2.26,43,0,0,3,2,4,7,0.30,6,0,0,1,0,0,Matches
329,Jean-Philippe Mateta,fr,FW,Crystal Palace,26,1997,25.4,65,2.56,48,0,5,6,4,2,12,0.47,8,0,1,1,2,0,Matches
330,Joël Matip,cm,DF,Liverpool,31,1991,8.7,8,0.92,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
331,Alex Matos,eng,MF,Chelsea,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
332,Remi Matthews,eng,GK,Crystal Palace,29,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
333,Neal Maupay,fr,FW,Brentford,26,1996,14.7,40,2.72,31,0,2,6,0,1,5,0.34,5,0,0,0,0,0,Matches
334,Neal Maupay,fr,FW,Everton,26,1996,1.2,3,2.41,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
335,Konstantinos Mavropanos,gr,DF,West Ham,25,1997,16.7,10,0.60,7,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
336,Bryan Mbeumo,cm,FW,Brentford,23,1999,21.8,82,3.77,45,23,2,5,7,0,10,0.46,9,1,0,0,0,0,Matches
337,James Mcatee,eng,"MF,FW",Sheffield Utd,20,2002,20.2,60,2.97,45,4,5,4,2,0,3,0.15,3,0,0,0,0,0,Matches
338,James Mcatee,eng,MF,Manchester City,20,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
339,Oliver McBurnie,sct,FW,Sheffield Utd,27,1996,14.2,29,2.04,24,0,0,2,3,0,7,0.49,6,0,0,0,1,0,Matches
340,James McConnell,eng,MF,Liverpool,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
341,John McGinn,sct,"MF,FW",Aston Villa,28,1994,33.3,106,3.18,88,9,6,2,1,0,14,0.42,11,1,2,0,0,0,Matches
342,Scott McKenna,sct,DF,Nott'ham Forest,26,1996,4.6,2,0.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
343,Dwight McNeil,eng,"MF,FW",Everton,23,1999,32.1,130,4.05,77,33,5,6,6,3,9,0.28,3,4,0,1,1,0,Matches
344,Scott McTominay,sct,"MF,FW",Manchester Utd,26,1996,21.1,26,1.23,18,0,1,4,1,2,2,0.09,1,0,0,0,0,1,Matches
345,Ben Mee,eng,DF,Brentford,33,1989,14.1,14,0.99,11,1,0,2,0,0,1,0.07,0,0,0,1,0,0,Matches
346,Hannibal Mejbri,tn,"MF,FW",Manchester Utd,20,2003,1.5,6,4.06,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
347,Teden Mengi,eng,DF,Luton Town,21,2002,27.4,14,0.51,11,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
348,Chris Mepham,wls,DF,Bournemouth,25,1997,6.9,11,1.60,8,1,0,0,0,2,2,0.29,2,0,0,0,0,0,Matches
349,Lewis Miley,eng,MF,Newcastle Utd,17,2006,13.4,31,2.32,24,0,2,3,0,2,5,0.37,4,0,0,0,0,1,Matches
350,James Milner,eng,"DF,MF",Brighton,37,1986,8.6,24,2.79,20,4,0,0,0,0,2,0.23,0,2,0,0,0,0,Matches
351,Tyrone Mings,eng,DF,Aston Villa,30,1993,0.3,2,6.00,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
352,Tyrick Mitchell,eng,"DF,MF",Crystal Palace,23,1999,35.6,47,1.32,40,2,1,2,1,1,4,0.11,4,0,0,0,0,0,Matches
353,Kaoru Mitoma,jp,FW,Brighton,26,1997,16.5,62,3.76,47,0,10,3,2,0,10,0.61,6,0,3,1,0,0,Matches
354,Aleksandar Mitrović,rs,FW,Fulham,28,1994,0.4,2,5.45,1,0,1,0,0,0,1,2.73,1,0,0,0,0,0,Matches
355,Jakub Moder,pl,"MF,DF",Brighton,24,1999,6.9,13,1.89,11,0,1,1,0,0,1,0.15,1,0,0,0,0,0,Matches
356,Gonzalo Montiel,ar,DF,Nott'ham Forest,26,1997,8.9,15,1.69,14,0,0,1,0,0,2,0.22,2,0,0,0,0,0,Matches
357,Kieffer Moore,wls,"FW,MF",Bournemouth,30,1992,1.2,5,4.17,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
358,Mikey Moore,eng,MF,Tottenham,15,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
359,Álex Moreno,es,DF,Aston Villa,30,1993,11.5,22,1.92,19,0,2,1,0,0,1,0.09,1,0,0,0,0,0,Matches
360,Carlton Morris,eng,"FW,MF",Luton Town,27,1995,31.8,71,2.23,49,0,5,10,6,1,8,0.25,4,0,0,3,1,0,Matches
361,Mason Mount,eng,"MF,FW",Manchester Utd,24,1999,5.7,18,3.15,11,2,2,0,1,2,0,0.00,0,0,0,0,0,0,Matches
362,Divin Mubama,eng,FW,West Ham,18,2004,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
363,Mykhailo Mudryk,ua,FW,Chelsea,22,2001,17.5,60,3.43,39,10,7,1,3,0,9,0.51,3,1,2,1,2,0,Matches
