,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
35,Jordan Ayew,gh,"FW,MF",Crystal Palace,31,1991,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0,Matches
36,Benoît Badiashile,fr,DF,Chelsea,22,2001,14.9,23,1.55,18,0,0,2,1,2,3,0.20,3,0,0,0,0,0,Matches
37,Leon Bailey,jm,"MF,FW",Aston Villa,25,1997,23.0,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0,Matches
38,Stefan Bajcetic,es,MF,Liverpool,18,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,George Baldock,gr,DF,Sheffield Utd,30,1993,10.8,16,1.49,10,3,2,0,1,0,2,0.19,1,0,0,0,1,0,Matches
40,Carlos Baleba,cm,MF,Brighton,19,2004,14.7,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
41,Fodé Ballo-Touré,sn,"DF,MF",Fulham,26,1997,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Shandon Baptiste,gd,MF,Brentford,25,1998,2.5,5,1.96,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0,Matches
43,Valentín Barco,ar,"DF,FW",Brighton,19,2004,3.4,8,2.35,5,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Ross Barkley,eng,MF,Luton Town,29,1993,29.1,104,3.58,67,11,14,6,3,3,11,0.38,6,2,1,1,1,0,Matches
45,Harvey Barnes,eng,"FW,MF",Newcastle Utd,25,1997,8.9,29,3.25,18,0,5,3,3,0,6,0.67,4,0,2,0,0,0,Matches
46,Chris Basham,eng,"DF,MF",Sheffield Utd,35,1988,3.6,3,0.84,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
47,Calvin Bassey,ng,DF,Fulham,23,1999,25.6,15,0.59,13,0,0,2,0,0,2,0.08,0,0,0,2,0,0,Matches
48,Owen Beck,wls,DF,Liverpool,20,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Donny van de Beek,nl,DF,Manchester Utd,26,1997,0.0,1,30.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Amari'i Bell,jm,DF,Luton Town,29,1994,19.1,25,1.31,22,0,0,0,2,1,3,0.16,3,0,0,0,0,0,Matches
51,Jean-Ricner Bellegarde,fr,"MF,FW",Wolves,25,1998,10.6,30,2.81,20,2,6,1,1,0,2,0.19,1,0,1,0,0,0,Matches
52,Anis Ben Slimane,tn,MF,Sheffield Utd,22,2001,4.7,12,2.58,8,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
53,Saïd Benrahma,dz,"FW,MF",West Ham,27,1995,6.9,26,3.77,23,0,3,0,0,0,1,0.15,1,0,0,0,0,0,Matches
54,Rodrigo Bentancur,uy,MF,Tottenham,26,1997,11.2,31,2.78,26,0,1,2,0,2,4,0.36,3,0,0,0,0,1,Matches
55,Daniel Bentley,eng,GK,Wolves,30,1993,4.3,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Jóhann Berg Guðmundsson,is,"MF,FW",Burnley,32,1990,13.2,50,3.78,28,17,0,2,3,0,5,0.38,3,2,0,0,0,0,Matches
57,Sander Berge,no,MF,Burnley,25,1998,33.4,67,2.01,63,0,3,0,1,0,8,0.24,7,0,1,0,0,0,Matches
58,Luke Berry,eng,"MF,DF",Luton Town,31,1992,3.6,6,1.67,2,1,1,2,0,0,1,0.28,0,0,1,0,0,0,Matches
59,Beto,gw,FW,Everton,25,1998,10.6,32,3.03,19,0,6,3,2,2,1,0.09,1,0,0,0,0,0,Matches
60,Jordan Beyer,de,DF,Burnley,23,2000,13.7,10,0.73,10,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
