STT,team,Median of Unnamed: 0,Median of age,Median of games,Median of games_starts,Median of minutes,Median of assists,Median of non-Penalty Goals,Median of Penalty Goals,Median of cards_yellow,Median of cards_red,Median of xg,Median of npxg,Median of xg_assist,Median of progressive_carries,Median of progressive_passes,Median of progressive_passes_received,Median of goals_per90,Median of assists_per90,Median of goals_assists_per90,Median of goals_pens_per90,Median of goals_assists_pens_per90,Median of xg_per90,Median of xg_assist_per90,Median of xg_xg_assist_per90,Median of npxg_per90,Median of npxg_xg_assist_per90,Median of goals,Median of shots,Median of shots_on_target,Median of shots_on_target_pct,Median of shots_per90,Median of shots_on_target_per90,Median of goals_per_shot,Median of goals_per_shot_on_target,Median of average_shot_distance,Median of shots_free_kicks,Median of pens_made,Median of pens_att,Median of npxg_per_shot,Median of xg_net,Median of npxg_net,Median of passes_completed,Median of passes,Median of passes_pct,Median of passes_total_distance,Median of passes_progressive_distance,Median of passes_completed_short,Median of passes_short,Median of passes_pct_short,Median of passes_completed_medium,Median of passes_medium,Median of passes_pct_medium,Median of passes_completed_long,Median of passes_long,Median of passes_pct_long,Median of pass_xa,Median of xg_assist_net,Median of assisted_shots,Median of passes_into_final_third,Median of passes_into_penalty_area,Median of crosses_into_penalty_area,Median of passes_live,Median of passes_dead,Median of passes_free_kicks,Median of through_balls,Median of passes_switches,Median of crosses,Median of throw_ins,Median of corner_kicks,Median of corner_kicks_in,Median of corner_kicks_out,Median of corner_kicks_straight,Median of passes_offsides,Median of passes_blocked,Median of sca,Median of sca_per90,Median of sca_passes_live,Median of sca_passes_dead,Median of sca_take_ons,Median of sca_shots,Median of sca_fouled,Median of sca_defense,Median of gca,Median of gca_per90,Median of gca_passes_live,Median of gca_passes_dead,Median of gca_take_ons,Median of gca_shots,Median of gca_fouled,Median of gca_defense,Median of tackles,Median of tackles_won,Median of tackles_def_3rd,Median of tackles_mid_3rd,Median of tackles_att_3rd,Median of challenge_tackles,Median of challenges,Median of challenge_tackles_pct,Median of challenges_lost,Median of blocks,Median of blocked_shots,Median of blocked_passes,Median of interceptions,Median of tackles_interceptions,Median of clearances,Median of errors,Median of touches,Median of touches_def_pen_area,Median of touches_def_3rd,Median of touches_mid_3rd,Median of touches_att_3rd,Median of touches_att_pen_area,Median of touches_live_ball,Median of take_ons,Median of take_ons_won,Median of take_ons_won_pct,Median of take_ons_tackled,Median of take_ons_tackled_pct,Median of carries,Median of carries_distance,Median of carries_progressive_distance,Median of carries_into_final_third,Median of carries_into_penalty_area,Median of miscontrols,Median of dispossessed,Median of passes_received,Median of minutes_per_game,Median of minutes_pct,Median of minutes_per_start,Median of games_complete,Median of games_subs,Median of minutes_per_sub,Median of unused_subs,Median of points_per_game,Median of on_goals_for,Median of on_goals_against,Median of plus_minus,Median of plus_minus_per90,Median of plus_minus_wowy,Median of on_xg_for,Median of on_xg_against,Median of xg_plus_minus,Median of xg_plus_minus_per90,Median of xg_plus_minus_wowy,Median of cards_yellow_red,Median of fouls,Median of fouled,Median of offsides,Median of pens_won,Median of pens_conceded,Median of own_goals,Median of ball_recoveries,Median of aerials_won,Median of aerials_lost,Median of aerials_won_pct,Median of gk_goals_against,Median of gk_goals_against_per90,Median of gk_shots_on_target_against,Median of gk_saves,Median of gk_save_pct,Median of gk_wins,Median of gk_ties,Median of gk_losses,Median of gk_clean_sheets,Median of gk_clean_sheets_pct,Median of gk_pens_att,Median of gk_pens_allowed,Median of gk_pens_saved,Median of gk_pens_missed,Median of gk_pens_save_pct,Mean of Unnamed: 0,Mean of age,Mean of games,Mean of games_starts,Mean of minutes,Mean of assists,Mean of non-Penalty Goals,Mean of Penalty Goals,Mean of cards_yellow,Mean of cards_red,Mean of xg,Mean of npxg,Mean of xg_assist,Mean of progressive_carries,Mean of progressive_passes,Mean of progressive_passes_received,Mean of goals_per90,Mean of assists_per90,Mean of goals_assists_per90,Mean of goals_pens_per90,Mean of goals_assists_pens_per90,Mean of xg_per90,Mean of xg_assist_per90,Mean of xg_xg_assist_per90,Mean of npxg_per90,Mean of npxg_xg_assist_per90,Mean of goals,Mean of shots,Mean of shots_on_target,Mean of shots_on_target_pct,Mean of shots_per90,Mean of shots_on_target_per90,Mean of goals_per_shot,Mean of goals_per_shot_on_target,Mean of average_shot_distance,Mean of shots_free_kicks,Mean of pens_made,Mean of pens_att,Mean of npxg_per_shot,Mean of xg_net,Mean of npxg_net,Mean of passes_completed,Mean of passes,Mean of passes_pct,Mean of passes_total_distance,Mean of passes_progressive_distance,Mean of passes_completed_short,Mean of passes_short,Mean of passes_pct_short,Mean of passes_completed_medium,Mean of passes_medium,Mean of passes_pct_medium,Mean of passes_completed_long,Mean of passes_long,Mean of passes_pct_long,Mean of pass_xa,Mean of xg_assist_net,Mean of assisted_shots,Mean of passes_into_final_third,Mean of passes_into_penalty_area,Mean of crosses_into_penalty_area,Mean of passes_live,Mean of passes_dead,Mean of passes_free_kicks,Mean of through_balls,Mean of passes_switches,Mean of crosses,Mean of throw_ins,Mean of corner_kicks,Mean of corner_kicks_in,Mean of corner_kicks_out,Mean of corner_kicks_straight,Mean of passes_offsides,Mean of passes_blocked,Mean of sca,Mean of sca_per90,Mean of sca_passes_live,Mean of sca_passes_dead,Mean of sca_take_ons,Mean of sca_shots,Mean of sca_fouled,Mean of sca_defense,Mean of gca,Mean of gca_per90,Mean of gca_passes_live,Mean of gca_passes_dead,Mean of gca_take_ons,Mean of gca_shots,Mean of gca_fouled,Mean of gca_defense,Mean of tackles,Mean of tackles_won,Mean of tackles_def_3rd,Mean of tackles_mid_3rd,Mean of tackles_att_3rd,Mean of challenge_tackles,Mean of challenges,Mean of challenge_tackles_pct,Mean of challenges_lost,Mean of blocks,Mean of blocked_shots,Mean of blocked_passes,Mean of interceptions,Mean of tackles_interceptions,Mean of clearances,Mean of errors,Mean of touches,Mean of touches_def_pen_area,Mean of touches_def_3rd,Mean of touches_mid_3rd,Mean of touches_att_3rd,Mean of touches_att_pen_area,Mean of touches_live_ball,Mean of take_ons,Mean of take_ons_won,Mean of take_ons_won_pct,Mean of take_ons_tackled,Mean of take_ons_tackled_pct,Mean of carries,Mean of carries_distance,Mean of carries_progressive_distance,Mean of carries_into_final_third,Mean of carries_into_penalty_area,Mean of miscontrols,Mean of dispossessed,Mean of passes_received,Mean of minutes_per_game,Mean of minutes_pct,Mean of minutes_per_start,Mean of games_complete,Mean of games_subs,Mean of minutes_per_sub,Mean of unused_subs,Mean of points_per_game,Mean of on_goals_for,Mean of on_goals_against,Mean of plus_minus,Mean of plus_minus_per90,Mean of plus_minus_wowy,Mean of on_xg_for,Mean of on_xg_against,Mean of xg_plus_minus,Mean of xg_plus_minus_per90,Mean of xg_plus_minus_wowy,Mean of cards_yellow_red,Mean of fouls,Mean of fouled,Mean of offsides,Mean of pens_won,Mean of pens_conceded,Mean of own_goals,Mean of ball_recoveries,Mean of aerials_won,Mean of aerials_lost,Mean of aerials_won_pct,Mean of gk_goals_against,Mean of gk_goals_against_per90,Mean of gk_shots_on_target_against,Mean of gk_saves,Mean of gk_save_pct,Mean of gk_wins,Mean of gk_ties,Mean of gk_losses,Mean of gk_clean_sheets,Mean of gk_clean_sheets_pct,Mean of gk_pens_att,Mean of gk_pens_allowed,Mean of gk_pens_saved,Mean of gk_pens_missed,Mean of gk_pens_save_pct,Std of Unnamed: 0,Std of age,Std of games,Std of games_starts,Std of minutes,Std of assists,Std of non-Penalty Goals,Std of Penalty Goals,Std of cards_yellow,Std of cards_red,Std of xg,Std of npxg,Std of xg_assist,Std of progressive_carries,Std of progressive_passes,Std of progressive_passes_received,Std of goals_per90,Std of assists_per90,Std of goals_assists_per90,Std of goals_pens_per90,Std of goals_assists_pens_per90,Std of xg_per90,Std of xg_assist_per90,Std of xg_xg_assist_per90,Std of npxg_per90,Std of npxg_xg_assist_per90,Std of goals,Std of shots,Std of shots_on_target,Std of shots_on_target_pct,Std of shots_per90,Std of shots_on_target_per90,Std of goals_per_shot,Std of goals_per_shot_on_target,Std of average_shot_distance,Std of shots_free_kicks,Std of pens_made,Std of pens_att,Std of npxg_per_shot,Std of xg_net,Std of npxg_net,Std of passes_completed,Std of passes,Std of passes_pct,Std of passes_total_distance,Std of passes_progressive_distance,Std of passes_completed_short,Std of passes_short,Std of passes_pct_short,Std of passes_completed_medium,Std of passes_medium,Std of passes_pct_medium,Std of passes_completed_long,Std of passes_long,Std of passes_pct_long,Std of pass_xa,Std of xg_assist_net,Std of assisted_shots,Std of passes_into_final_third,Std of passes_into_penalty_area,Std of crosses_into_penalty_area,Std of passes_live,Std of passes_dead,Std of passes_free_kicks,Std of through_balls,Std of passes_switches,Std of crosses,Std of throw_ins,Std of corner_kicks,Std of corner_kicks_in,Std of corner_kicks_out,Std of corner_kicks_straight,Std of passes_offsides,Std of passes_blocked,Std of sca,Std of sca_per90,Std of sca_passes_live,Std of sca_passes_dead,Std of sca_take_ons,Std of sca_shots,Std of sca_fouled,Std of sca_defense,Std of gca,Std of gca_per90,Std of gca_passes_live,Std of gca_passes_dead,Std of gca_take_ons,Std of gca_shots,Std of gca_fouled,Std of gca_defense,Std of tackles,Std of tackles_won,Std of tackles_def_3rd,Std of tackles_mid_3rd,Std of tackles_att_3rd,Std of challenge_tackles,Std of challenges,Std of challenge_tackles_pct,Std of challenges_lost,Std of blocks,Std of blocked_shots,Std of blocked_passes,Std of interceptions,Std of tackles_interceptions,Std of clearances,Std of errors,Std of touches,Std of touches_def_pen_area,Std of touches_def_3rd,Std of touches_mid_3rd,Std of touches_att_3rd,Std of touches_att_pen_area,Std of touches_live_ball,Std of take_ons,Std of take_ons_won,Std of take_ons_won_pct,Std of take_ons_tackled,Std of take_ons_tackled_pct,Std of carries,Std of carries_distance,Std of carries_progressive_distance,Std of carries_into_final_third,Std of carries_into_penalty_area,Std of miscontrols,Std of dispossessed,Std of passes_received,Std of minutes_per_game,Std of minutes_pct,Std of minutes_per_start,Std of games_complete,Std of games_subs,Std of minutes_per_sub,Std of unused_subs,Std of points_per_game,Std of on_goals_for,Std of on_goals_against,Std of plus_minus,Std of plus_minus_per90,Std of plus_minus_wowy,Std of on_xg_for,Std of on_xg_against,Std of xg_plus_minus,Std of xg_plus_minus_per90,Std of xg_plus_minus_wowy,Std of cards_yellow_red,Std of fouls,Std of fouled,Std of offsides,Std of pens_won,Std of pens_conceded,Std of own_goals,Std of ball_recoveries,Std of aerials_won,Std of aerials_lost,Std of aerials_won_pct,Std of gk_goals_against,Std of gk_goals_against_per90,Std of gk_shots_on_target_against,Std of gk_saves,Std of gk_save_pct,Std of gk_wins,Std of gk_ties,Std of gk_losses,Std of gk_clean_sheets,Std of gk_clean_sheets_pct,Std of gk_pens_att,Std of gk_pens_allowed,Std of gk_pens_saved,Std of gk_pens_missed,Std of gk_pens_save_pct
0,all,289.0,25.0,23.0,16.0,1419.0,1.0,1.0,0.0,3.0,0.0,1.1,1.1,1.0,17.0,44.0,30.0,0.07,0.05,0.15,0.07,0.15,0.08,0.07,0.17,0.08,0.17,1.0,12.0,4.0,32.5,1.04,0.29,0.08,0.27,16.3,0.0,0.0,0.0,0.09,-0.1,-0.1,494.0,627.0,78.7,7596.0,2329.0,244.0,276.0,88.6,174.0,212.0,84.5,32.0,60.0,53.25,0.9,-0.1,9.0,29.0,8.0,1.0,567.0,38.0,8.0,1.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,12.0,25.0,2.11,19.0,0.0,1.0,1.0,1.0,0.0,3.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,9.0,7.0,2.0,9.0,21.0,48.1,10.0,16.0,3.0,11.0,9.0,30.0,18.0,0.0,809.0,37.0,176.0,315.0,172.0,23.0,809.0,17.0,8.0,46.3,7.0,42.9,455.0,2331.0,1150.0,14.0,3.0,15.0,9.0,511.0,59.0,34.8,82.0,2.0,2.0,19.0,3.0,1.29,20.0,22.0,-1.0,-0.11,-0.03,19.2,20.65,-0.5,-0.07,0.01,0.0,14.0,12.0,1.0,0.0,0.0,0.0,62.0,12.0,16.0,46.9,28.0,1.64,80.0,56.0,67.7,6.0,4.0,6.0,3.0,20.0,2.0,2.0,0.0,0.0,0.0,289.9,25.5,22.66,16.94,1518.37,1.74,2.23,0.19,3.32,0.12,2.44,2.26,1.75,28.85,59.33,58.65,0.14,0.1,0.24,0.13,0.23,0.15,0.1,0.25,0.14,0.25,2.42,20.98,7.18,31.47,1.3,0.45,0.09,0.3,16.52,0.57,0.19,0.22,0.1,-0.01,-0.03,634.88,786.39,78.24,10789.13,3816.69,305.17,341.44,88.03,259.08,298.86,82.78,54.15,104.23,54.47,1.55,-0.02,15.96,47.29,13.72,2.86,713.76,69.71,18.91,2.69,4.07,26.61,27.22,8.33,4.06,2.44,0.2,2.93,14.73,37.33,2.24,27.34,3.11,2.17,2.43,1.56,0.73,4.18,0.25,2.94,0.26,0.3,0.33,0.26,0.08,27.11,15.92,13.15,10.12,3.84,12.6,25.69,47.43,13.09,18.77,5.98,12.79,12.75,39.86,31.53,0.67,959.95,107.03,315.19,410.14,243.55,40.24,959.73,28.69,13.09,47.26,12.55,41.75,549.38,2903.28,1492.91,20.34,9.2,21.76,14.51,628.42,55.05,37.47,79.45,6.63,4.1,19.55,5.04,1.34,23.39,23.74,-0.35,-0.35,-0.26,22.11,22.4,-0.29,-0.27,-0.22,0.06,16.9,16.37,2.92,0.19,0.22,0.1,74.18,20.49,20.44,48.34,33.54,1.71,98.43,65.97,66.88,8.05,4.43,8.03,4.24,20.15,2.89,2.59,0.22,0.08,9.72,168.63,4.13,10.14,11.17,949.24,2.47,3.35,0.84,2.84,0.34,3.57,3.11,2.19,32.3,57.58,71.2,0.19,0.14,0.27,0.18,0.25,0.18,0.11,0.24,0.17,0.23,3.82,23.1,9.09,18.61,1.1,0.47,0.11,0.26,4.76,1.81,0.84,0.93,0.07,1.38,1.36,549.83,634.05,8.29,9776.11,4159.29,263.73,283.27,6.85,254.62,275.0,10.29,63.76,132.39,15.09,1.89,1.13,18.48,50.35,16.17,4.38,584.24,87.24,27.44,4.54,5.94,42.32,54.77,23.06,11.76,8.82,0.93,3.12,13.27,37.65,1.47,26.96,7.65,3.42,2.95,2.26,1.13,4.96,0.27,3.54,0.8,0.74,0.72,0.64,0.29,23.83,14.23,13.15,9.58,4.01,12.1,22.79,20.27,12.2,15.34,7.95,10.82,12.7,34.85,36.1,1.1,715.65,200.98,348.04,369.21,239.45,47.39,715.53,32.88,15.45,19.2,14.9,18.99,435.37,2280.49,1258.24,19.98,16.01,20.96,16.07,508.08,26.67,28.96,9.93,9.15,4.93,10.98,6.31,0.73,20.29,19.08,14.96,3.2,3.13,18.26,17.89,11.57,2.76,2.79,0.24,13.68,15.71,4.65,0.54,0.47,0.33,55.84,23.83,20.97,21.54,22.3,0.62,65.49,44.94,8.46,6.62,3.04,6.53,3.88,14.57,2.63,2.57,0.48,0.28,21.94
1,Arsenal,440.0,24.0,27.0,18.0,1649.0,2.0,2.0,0.0,2.0,0.0,1.6,1.6,1.4,17.0,72.0,37.0,0.12,0.17,0.25,0.12,0.25,0.12,0.13,0.24,0.12,0.24,2.0,17.0,5.0,31.6,1.34,0.3,0.1,0.34,15.6,0.0,0.0,0.0,0.11,0.2,0.0,699.0,785.0,83.7,9583.0,2564.0,306.0,342.0,90.9,229.0,267.0,85.9,37.0,60.0,54.3,0.9,0.4,9.0,43.0,14.0,2.0,759.0,49.0,7.0,3.0,2.0,12.0,6.0,0.0,0.0,0.0,0.0,3.0,11.0,28.0,2.86,25.0,1.0,1.0,1.0,1.0,0.0,5.0,0.38,3.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,9.0,9.0,4.0,11.0,22.0,50.0,7.0,18.0,1.0,15.0,12.0,36.0,9.0,0.0,912.0,25.0,182.0,389.0,239.0,31.0,912.0,14.0,8.0,40.9,6.0,44.3,591.0,3077.0,1532.0,21.0,6.0,13.0,9.0,650.0,56.0,26.7,78.5,2.0,3.0,21.0,3.0,0.8,13.0,18.0,-2.0,-1.01,-0.47,12.2,19.0,-1.3,-0.14,-0.06,0.0,15.0,13.0,1.0,0.0,0.0,0.0,59.0,15.0,16.0,48.8,14.5,0.79,41.5,27.0,66.2,14.0,2.5,2.5,9.0,41.65,1.5,1.0,0.5,0.0,33.3,423.86,24.76,26.81,19.86,1781.57,2.95,3.62,0.48,2.95,0.1,3.71,3.34,2.66,38.95,99.62,98.86,0.18,0.16,0.35,0.16,0.32,0.2,0.14,0.34,0.18,0.32,4.1,30.71,9.9,28.78,1.63,0.5,0.1,0.34,16.25,0.29,0.48,0.48,0.1,0.38,0.28,900.67,1064.62,82.7,14610.14,4839.48,457.95,501.62,91.06,368.48,413.76,87.3,55.81,102.48,55.6,2.74,0.29,24.38,72.76,26.0,3.24,988.38,72.1,20.9,4.95,3.05,31.67,26.1,12.62,10.33,0.05,0.0,4.14,15.05,56.33,2.76,44.0,3.9,2.76,3.14,1.57,0.95,7.24,0.41,4.95,0.76,0.38,0.52,0.62,0.0,28.95,16.48,12.19,11.67,5.1,12.9,25.81,56.22,12.9,19.52,5.05,14.48,13.86,42.81,24.48,0.86,1251.43,93.95,318.29,536.67,405.43,70.29,1250.95,31.86,13.43,43.03,14.48,46.14,769.33,3833.9,1961.52,27.14,15.57,24.95,17.81,892.67,56.06,33.82,77.69,5.67,4.62,22.19,5.24,0.98,18.18,23.94,-5.76,-1.1,-0.72,18.49,21.46,-2.98,-0.25,-0.1,0.05,18.38,18.67,4.1,0.43,0.14,0.05,83.0,23.81,23.62,48.83,14.5,0.79,41.5,27.0,66.2,14.0,2.5,2.5,9.0,41.65,1.5,1.0,0.5,0.0,33.3,111.57,2.55,10.19,13.09,1102.75,3.14,3.98,1.36,2.77,0.3,4.29,3.6,3.07,42.67,94.1,130.5,0.19,0.15,0.28,0.18,0.24,0.18,0.13,0.27,0.17,0.23,4.74,29.87,10.14,10.28,1.22,0.44,0.09,0.23,4.48,0.96,1.36,1.36,0.04,1.54,1.56,735.47,820.17,6.26,12197.28,4680.44,352.21,378.56,4.51,350.74,375.53,6.81,50.0,102.65,13.16,3.23,1.28,28.94,70.97,30.36,3.94,777.28,66.18,22.55,8.32,3.98,45.59,51.21,27.92,23.29,0.22,0.0,4.02,13.62,59.48,1.67,46.29,7.01,3.92,3.29,2.04,1.43,6.99,0.35,5.32,1.18,0.67,0.75,1.02,0.0,22.46,13.12,9.98,10.53,4.98,10.24,20.46,22.24,12.19,15.07,8.67,11.16,12.08,33.29,28.95,1.28,909.01,173.76,372.35,488.04,369.74,78.2,908.71,36.88,15.08,14.38,17.54,15.47,566.77,2933.08,1541.2,24.15,23.07,21.18,18.47,667.3,22.46,28.42,10.02,7.31,4.63,9.65,6.53,0.66,16.54,21.43,18.77,2.01,1.69,16.56,18.73,13.54,1.02,0.87,0.22,13.71,16.97,5.29,0.68,0.48,0.22,60.38,28.0,24.83,21.11,13.44,0.06,38.89,25.46,2.69,12.73,2.12,3.54,9.9,11.81,2.12,1.41,0.71,0.0,
2,Aston Villa,300.0,26.0,27.0,20.0,1652.0,1.0,2.0,0.0,4.0,0.0,1.4,1.4,1.0,32.0,55.0,33.0,0.11,0.08,0.21,0.11,0.21,0.1,0.09,0.21,0.1,0.21,2.0,14.0,5.0,35.0,0.78,0.35,0.11,0.38,15.9,0.0,0.0,0.0,0.12,0.0,0.0,573.0,790.0,80.4,8993.0,2559.0,293.0,329.0,89.9,184.0,242.0,85.7,48.0,82.0,57.6,1.0,-0.1,10.0,29.0,12.0,0.0,745.0,47.0,13.0,0.0,2.0,11.0,4.0,0.0,0.0,0.0,0.0,1.0,13.0,29.0,2.07,22.0,0.0,1.0,2.0,1.0,0.0,3.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,5.0,2.0,7.0,19.0,46.7,8.0,18.0,2.0,13.0,9.0,21.0,12.0,0.0,1017.0,44.0,215.0,318.0,186.0,27.0,1017.0,30.0,13.0,44.8,11.0,41.0,635.0,3527.0,1663.0,19.0,4.0,17.0,14.0,764.0,63.0,38.7,80.0,0.0,1.0,18.5,3.0,1.42,22.0,27.0,-1.0,-0.07,0.15,18.7,23.8,-1.2,-0.06,0.09,0.0,16.0,15.0,0.0,0.0,0.0,0.0,62.0,13.0,14.0,50.0,30.5,2.16,86.5,57.5,64.0,10.0,4.0,5.0,4.0,11.75,1.0,0.5,0.5,0.0,50.0,295.26,25.96,24.17,18.13,1629.13,2.39,2.96,0.17,4.04,0.09,2.83,2.69,2.14,33.3,62.87,62.39,0.2,0.12,0.32,0.2,0.32,0.16,0.1,0.26,0.16,0.26,3.13,22.0,7.87,33.67,1.21,0.44,0.14,0.35,15.47,0.65,0.17,0.17,0.12,0.3,0.27,699.61,839.7,81.3,12198.52,4136.0,308.09,341.26,89.04,320.35,359.09,86.83,57.74,102.83,57.69,1.83,0.25,17.26,50.13,15.78,2.91,758.74,78.91,27.3,3.39,4.13,28.3,26.65,10.04,6.48,0.65,0.09,2.04,14.87,39.48,1.99,29.04,3.35,2.0,3.17,1.35,0.57,5.61,0.31,4.0,0.35,0.35,0.43,0.35,0.13,23.7,13.48,11.65,9.09,2.96,11.26,23.78,44.33,12.52,16.91,4.91,12.0,10.22,33.91,25.87,0.57,999.57,121.91,354.43,417.43,236.65,43.78,999.39,32.65,14.83,47.22,13.61,39.69,626.3,3400.17,1782.87,21.0,9.39,20.43,18.04,685.61,56.69,37.62,79.18,4.7,2.26,19.92,4.57,1.32,22.46,25.77,-3.31,-1.93,-1.42,21.6,22.63,-1.05,-1.08,-0.79,0.0,17.87,20.52,2.04,0.17,0.09,0.17,70.0,14.48,15.7,53.66,30.5,2.16,86.5,57.5,64.0,10.0,4.0,5.0,4.0,11.75,1.0,0.5,0.5,0.0,50.0,164.05,3.55,11.11,12.39,1057.0,3.55,4.34,0.83,3.17,0.29,3.76,3.66,2.71,29.3,56.02,74.14,0.26,0.16,0.32,0.26,0.32,0.16,0.1,0.21,0.16,0.21,4.51,24.9,10.51,11.01,1.07,0.42,0.12,0.26,3.56,1.67,0.83,0.83,0.07,1.51,1.47,567.57,647.13,7.16,10542.24,4236.25,235.23,252.02,6.98,300.07,320.09,8.06,60.18,111.96,11.28,2.1,1.51,18.66,49.19,16.78,4.74,578.25,86.49,35.91,5.24,5.95,40.74,54.74,22.97,14.64,1.82,0.42,2.27,12.48,37.57,1.27,26.21,7.98,2.78,4.3,1.47,0.66,6.43,0.28,4.46,0.88,0.65,1.5,0.57,0.34,20.04,12.09,9.98,10.12,2.75,10.28,20.6,20.77,11.43,11.52,6.18,8.21,9.08,28.66,26.42,1.08,711.88,238.15,389.62,365.49,214.65,51.96,711.54,31.3,15.51,15.4,13.56,15.3,457.07,2449.83,1427.93,17.22,13.28,19.65,17.47,498.01,27.45,27.85,8.83,7.87,3.31,10.91,3.99,0.85,18.14,19.49,12.15,6.27,5.84,17.73,17.01,8.11,3.69,3.43,0.0,13.44,18.84,4.02,0.49,0.29,0.49,52.14,12.94,16.46,22.61,24.75,1.03,74.25,53.03,3.11,12.73,5.66,2.83,5.66,16.62,0.0,0.71,0.71,0.0,70.71
3,Bournemouth,393.0,24.5,25.5,13.0,1317.5,1.0,0.5,0.0,3.0,0.0,1.15,1.15,1.1,22.0,43.5,27.5,0.02,0.08,0.15,0.02,0.15,0.06,0.08,0.15,0.06,0.15,0.5,12.5,3.5,30.5,0.96,0.25,0.06,0.25,17.6,0.0,0.0,0.0,0.08,-0.1,-0.1,385.5,540.5,74.75,5953.0,1703.5,188.0,237.5,85.2,142.5,172.5,81.0,25.5,56.5,47.1,0.95,-0.05,10.5,25.0,12.5,2.0,463.0,42.5,6.5,1.0,2.5,14.0,4.0,0.0,0.0,0.0,0.0,1.5,16.5,30.0,2.37,25.5,1.0,1.0,1.5,1.0,1.0,3.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,24.0,14.5,7.5,9.5,3.5,9.0,27.0,47.35,13.0,17.0,3.0,12.5,7.5,33.5,22.0,0.0,733.0,43.0,138.0,284.0,160.5,14.5,733.0,17.5,10.0,43.1,8.0,42.6,365.5,2314.5,1162.0,17.5,2.5,16.0,9.0,421.5,50.0,25.45,80.0,3.0,3.5,18.0,4.0,1.38,18.5,13.5,-1.5,-0.18,-0.24,16.7,14.3,-0.35,-0.04,0.02,0.0,16.0,12.5,1.0,0.0,0.0,0.0,72.0,15.0,21.0,42.1,7.0,1.72,18.0,13.0,69.7,2.0,0.0,2.0,2.0,21.9,1.0,1.0,0.0,0.0,8.35,334.08,25.04,22.08,16.04,1438.42,1.5,1.92,0.08,3.0,0.12,2.19,2.1,1.57,27.04,50.04,49.5,0.14,0.11,0.25,0.14,0.25,0.19,0.11,0.3,0.19,0.3,2.0,20.54,6.65,30.62,1.56,0.52,0.07,0.25,17.31,0.69,0.08,0.12,0.09,-0.19,-0.17,455.15,608.62,73.93,8459.27,3185.35,190.15,224.15,85.91,201.88,237.92,81.71,53.31,113.38,49.3,1.28,-0.07,15.88,40.88,13.5,3.38,537.65,68.81,16.08,1.81,3.5,27.04,29.46,9.0,7.35,0.35,0.15,2.15,13.77,36.38,2.53,26.85,2.69,2.35,2.15,1.31,1.04,3.19,0.23,2.38,0.12,0.19,0.23,0.12,0.15,26.46,15.65,11.5,10.69,4.27,12.42,26.19,46.25,13.77,19.15,5.81,13.35,13.62,40.08,31.12,0.62,790.69,95.15,260.69,323.62,216.92,39.54,790.58,32.92,14.46,46.73,15.62,40.04,421.15,2536.69,1324.12,19.5,9.19,24.27,14.73,449.65,49.32,32.74,77.68,5.85,5.23,18.48,7.12,1.39,20.45,21.41,-0.95,-1.24,-1.1,18.96,19.98,-0.99,0.22,0.25,0.0,19.38,14.31,2.15,0.12,0.27,0.04,76.96,22.19,25.65,45.77,22.33,2.16,64.67,42.33,61.3,4.33,3.0,5.33,3.0,23.97,2.33,2.0,0.33,0.0,8.35,191.14,3.54,11.85,12.73,1074.14,1.5,3.73,0.39,2.94,0.33,3.91,3.49,1.6,26.18,45.89,59.09,0.22,0.12,0.29,0.21,0.29,0.3,0.1,0.37,0.3,0.37,4.06,26.17,9.26,20.15,1.73,0.61,0.08,0.25,5.68,1.67,0.39,0.59,0.06,1.08,1.08,383.69,495.15,6.37,8029.2,3668.22,141.14,164.96,6.89,208.13,230.48,10.55,65.08,141.76,13.63,1.36,0.91,15.79,44.78,12.01,4.21,450.77,80.65,23.65,3.39,4.19,34.54,56.97,21.68,18.52,1.06,0.37,2.36,10.35,31.95,1.54,23.46,5.04,3.35,2.46,1.62,1.18,2.62,0.23,2.17,0.43,0.49,0.71,0.33,0.37,23.33,13.42,11.31,10.31,4.36,11.51,23.11,14.43,12.57,16.91,7.99,11.88,16.55,38.46,35.29,1.06,605.02,187.02,309.06,301.05,203.43,51.36,604.97,36.52,15.97,16.99,18.83,19.86,328.96,1977.68,1107.1,20.28,12.91,29.06,20.02,348.54,25.23,28.37,13.72,9.16,4.94,9.27,8.37,0.79,17.6,21.26,12.99,4.93,4.88,15.22,20.13,12.11,1.44,1.36,0.0,16.14,12.51,3.39,0.33,0.53,0.2,66.15,23.9,29.39,21.68,28.31,1.19,86.96,58.77,21.94,4.93,5.2,6.66,3.61,25.06,3.21,2.65,0.58,0.0,11.81
