,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
22,Sofyan Amrabat,ma,"MF,DF",Manchester Utd,26,1996,10.4,0,3,0,0.0,0.29,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
23,Joachim Andersen,dk,DF,Crystal Palace,27,1996,37.9,2,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
24,Elliot Anderson,eng,"MF,FW",Newcastle Utd,20,2002,11.4,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
25,Jaidon Anthony,eng,FW,Bournemouth,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
26,Michail Antonio,jm,FW,West Ham,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.20,0.43,13.1,0,0,0,5.8,5.8,0.19,+0.2,+0.2,Matches
27,Antony,br,FW,Manchester Utd,23,2000,14.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4,Matches
28,Oliver Arblaster,eng,MF,Sheffield Utd,19,2004,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
29,Cameron Archer,eng,"FW,MF",Sheffield Utd,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.10,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,Matches
30,Cameron Archer,eng,MF,Aston Villa,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Alphonse Areola,fr,GK,West Ham,30,1993,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Lorenz Assignon,tg,DF,Burnley,23,2000,13.7,1,9,4,44.4,0.66,0.29,0.11,0.25,22.1,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
33,Serge Aurier,ci,"DF,MF",Nott'ham Forest,30,1992,9.3,0,6,1,16.7,0.65,0.11,0.00,0.00,16.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
34,Taiwo Awoniyi,ng,FW,Nott'ham Forest,25,1997,11.6,6,22,11,50.0,1.90,0.95,0.27,0.55,11.5,0,0,0,4.7,4.7,0.22,+1.3,+1.3,Matches
35,Jordan Ayew,gh,"FW,MF",Crystal Palace,31,1991,28.3,4,48,19,39.6,1.70,0.67,0.08,0.21,18.2,0,0,0,3.9,3.9,0.08,+0.1,+0.1,Matches
36,Benoît Badiashile,fr,DF,Chelsea,22,2001,14.9,0,6,1,16.7,0.40,0.07,0.00,0.00,14.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
37,Leon Bailey,jm,"MF,FW",Aston Villa,25,1997,23.0,10,53,18,34.0,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,+3.7,+3.7,Matches
38,Stefan Bajcetic,es,MF,Liverpool,18,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,George Baldock,gr,DF,Sheffield Utd,30,1993,10.8,0,1,0,0.0,0.09,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
