,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
16,Trent Alexander-Arnold,eng,DF,Liverpool,24,1998,23.9,1553,2062,75.3,30386,12434,676,734,92.1,607,762,79.7,244,495,49.3,4,7.2,6.1,-3.2,64,202,57,18,205,Matches
17,Alisson,br,GK,Liverpool,30,1992,28.0,985,1142,86.3,21428,13147,238,239,99.6,597,607,98.4,147,284,51.8,0,0.0,0.0,0.0,1,8,0,0,5,Matches
18,Miguel Almirón,py,FW,Newcastle Utd,29,1994,21.5,668,801,83.4,9023,1846,411,456,90.1,208,250,83.2,21,38,55.3,1,2.6,2.4,-1.6,24,38,21,3,78,Matches
19,Edson Álvarez,mx,MF,West Ham,25,1997,26.4,1033,1207,85.6,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,1,0.6,0.8,+0.4,12,87,6,1,91,Matches
20,Julián Álvarez,ar,"MF,FW",Manchester City,23,2000,29.4,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,8,6.4,6.3,+1.6,67,43,41,4,103,Matches
21,Zeki Amdouni,ch,FW,Burnley,22,2000,21.7,396,500,79.2,6229,1153,216,265,81.5,141,161,87.6,24,35,68.6,1,1.4,1.3,-0.4,16,28,9,0,49,Matches
22,Sofyan Amrabat,ma,"MF,DF",Manchester Utd,26,1996,10.4,578,664,87.0,10308,2747,244,274,89.1,264,296,89.2,56,67,83.6,0,0.3,0.4,-0.3,6,62,6,1,66,Matches
23,Joachim Andersen,dk,DF,Crystal Palace,27,1996,37.9,1731,2209,78.4,37874,14700,488,559,87.3,950,1041,91.3,281,547,51.4,3,2.8,2.3,+0.2,20,171,17,8,147,Matches
24,Elliot Anderson,eng,"MF,FW",Newcastle Utd,20,2002,11.4,370,460,80.4,5041,1322,241,274,88.0,108,130,83.1,8,27,29.6,2,1.9,1.2,+0.1,15,36,12,0,57,Matches
25,Jaidon Anthony,eng,FW,Bournemouth,23,1999,1.7,30,45,66.7,453,139,17,20,85.0,10,14,71.4,1,6,16.7,0,0.0,0.0,0.0,0,3,1,0,8,Matches
26,Michail Antonio,jm,FW,West Ham,33,1990,18.8,180,308,58.4,2635,626,111,154,72.1,48,90,53.3,13,26,50.0,2,0.9,1.3,+1.1,8,13,7,2,22,Matches
27,Antony,br,FW,Manchester Utd,23,2000,14.7,468,595,78.7,6175,1608,295,348,84.8,130,153,85.0,16,30,53.3,1,2.8,1.9,-1.8,22,26,29,3,64,Matches
28,Oliver Arblaster,eng,MF,Sheffield Utd,19,2004,10.5,349,438,79.7,5894,1788,173,200,86.5,146,166,88.0,26,50,52.0,0,0.7,0.9,-0.7,11,37,6,0,43,Matches
29,Cameron Archer,eng,"FW,MF",Sheffield Utd,22,2001,20.4,266,332,80.1,3245,471,171,207,82.6,64,69,92.8,5,9,55.6,1,2.8,1.4,-1.8,23,11,7,2,15,Matches
30,Cameron Archer,eng,MF,Aston Villa,22,2001,0.1,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
31,Alphonse Areola,fr,GK,West Ham,30,1993,30.0,562,867,64.8,17799,12917,74,76,97.4,245,246,99.6,241,538,44.8,0,0.0,0.0,0.0,0,8,0,0,1,Matches
32,Lorenz Assignon,tg,DF,Burnley,23,2000,13.7,352,485,72.6,5411,1984,182,225,80.9,152,194,78.4,10,31,32.3,2,2.6,1.6,-0.6,13,16,10,5,34,Matches
33,Serge Aurier,ci,"DF,MF",Nott'ham Forest,30,1992,9.3,348,448,77.7,5238,2147,191,225,84.9,130,156,83.3,17,45,37.8,2,0.5,0.5,+1.5,4,31,9,4,47,Matches
34,Taiwo Awoniyi,ng,FW,Nott'ham Forest,25,1997,11.6,127,175,72.6,1594,312,88,111,79.3,34,47,72.3,3,5,60.0,3,1.7,0.9,+1.3,10,6,3,0,14,Matches
35,Jordan Ayew,gh,"FW,MF",Crystal Palace,31,1991,28.3,681,920,74.0,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,7,4.2,2.7,+2.8,25,43,26,10,63,Matches
36,Benoît Badiashile,fr,DF,Chelsea,22,2001,14.9,1065,1173,90.8,18737,7087,442,463,95.5,543,584,93.0,71,106,67.0,1,1.5,0.9,-0.5,6,48,4,0,46,Matches
37,Leon Bailey,jm,"MF,FW",Aston Villa,25,1997,23.0,573,790,72.5,8993,2559,327,391,83.6,184,242,76.0,48,82,58.5,9,9.2,7.3,-0.2,52,38,51,7,82,Matches
38,Stefan Bajcetic,es,MF,Liverpool,18,2004,0.3,7,10,70.0,101,44,3,3,100.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
39,George Baldock,gr,DF,Sheffield Utd,30,1993,10.8,291,397,73.3,4602,1810,169,191,88.5,100,124,80.6,18,52,34.6,1,0.8,0.6,+0.2,7,18,11,4,31,Matches
40,Carlos Baleba,cm,MF,Brighton,19,2004,14.7,713,775,92.0,10618,2185,402,429,93.7,267,278,96.0,24,30,80.0,0,0.3,0.3,-0.3,8,38,3,0,50,Matches
41,Fodé Ballo-Touré,sn,"DF,MF",Fulham,26,1997,0.8,56,78,71.8,1002,224,23,30,76.7,26,33,78.8,6,8,75.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches
42,Shandon Baptiste,gd,MF,Brentford,25,1998,2.5,66,90,73.3,1144,351,33,39,84.6,25,28,89.3,7,15,46.7,1,0.2,0.4,+0.8,4,7,3,2,5,Matches
43,Valentín Barco,ar,"DF,FW",Brighton,19,2004,3.4,179,233,76.8,2509,864,120,131,91.6,47,64,73.4,7,23,30.4,0,0.2,0.4,-0.2,4,10,3,0,14,Matches
44,Ross Barkley,eng,MF,Luton Town,29,1993,29.1,1218,1474,82.6,21602,6544,550,611,90.0,473,533,88.7,147,226,65.0,4,3.7,2.7,+0.3,44,138,27,1,163,Matches
45,Harvey Barnes,eng,"FW,MF",Newcastle Utd,25,1997,8.9,208,272,76.5,2981,750,128,147,87.1,68,84,81.0,7,16,43.8,3,3.2,1.9,-0.2,13,11,17,3,34,Matches
46,Chris Basham,eng,"DF,MF",Sheffield Utd,35,1988,3.6,103,138,74.6,1506,484,62,70,88.6,31,45,68.9,6,14,42.9,0,0.3,0.1,-0.3,2,7,2,0,7,Matches
47,Calvin Bassey,ng,DF,Fulham,23,1999,25.6,1440,1674,86.0,27276,9421,483,514,94.0,787,855,92.0,141,246,57.3,0,0.0,0.2,0.0,1,80,2,0,62,Matches
48,Owen Beck,wls,DF,Liverpool,20,2002,0.1,3,4,75.0,31,1,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
49,Donny van de Beek,nl,DF,Manchester Utd,26,1997,0.0,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
50,Amari'i Bell,jm,DF,Luton Town,29,1994,19.1,645,835,77.2,10680,4470,324,372,87.1,270,315,85.7,44,108,40.7,0,0.5,0.4,-0.5,8,63,8,0,76,Matches
51,Jean-Ricner Bellegarde,fr,"MF,FW",Wolves,25,1998,10.6,241,314,76.8,3452,786,144,161,89.4,76,98,77.6,14,29,48.3,1,1.0,0.8,0.0,12,17,7,0,39,Matches
52,Anis Ben Slimane,tn,MF,Sheffield Utd,22,2001,4.7,92,139,66.2,1322,373,47,70,67.1,35,43,81.4,4,5,80.0,0,0.3,0.1,-0.3,3,6,2,0,12,Matches
53,Saïd Benrahma,dz,"FW,MF",West Ham,27,1995,6.9,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,11,2,28,Matches
54,Rodrigo Bentancur,uy,MF,Tottenham,26,1997,11.2,674,800,84.3,10011,2610,384,426,90.1,244,282,86.5,29,41,70.7,1,0.5,1.1,+0.5,8,69,11,1,72,Matches
55,Daniel Bentley,eng,GK,Wolves,30,1993,4.3,96,144,66.7,2347,1661,30,30,100.0,37,37,100.0,28,76,36.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches
56,Jóhann Berg Guðmundsson,is,"MF,FW",Burnley,32,1990,13.2,396,544,72.8,7505,2234,164,184,89.1,159,203,78.3,61,124,49.2,3,2.7,2.5,+0.3,35,36,18,6,59,Matches
57,Sander Berge,no,MF,Burnley,25,1998,33.4,1376,1562,88.1,24429,5168,568,637,89.2,658,711,92.5,125,154,81.2,2,2.4,1.6,-0.4,29,129,16,1,164,Matches
58,Luke Berry,eng,"MF,DF",Luton Town,31,1992,3.6,64,99,64.6,984,310,38,45,84.4,18,32,56.3,6,15,40.0,1,0.3,0.1,+0.7,2,5,0,0,8,Matches
59,Beto,gw,FW,Everton,25,1998,10.6,108,180,60.0,1451,323,66,98,67.3,34,53,64.2,5,7,71.4,0,0.9,0.3,-0.9,11,7,6,0,14,Matches
60,Jordan Beyer,de,DF,Burnley,23,2000,13.7,766,861,89.0,14232,3759,270,298,90.6,421,446,94.4,64,92,69.6,1,0.3,0.2,+0.7,3,28,1,0,25,Matches
61,Philip Billing,dk,MF,Bournemouth,27,1996,15.5,404,537,75.2,6037,1791,232,279,83.2,121,153,79.1,31,56,55.4,2,3.2,2.1,-1.2,23,39,15,4,53,Matches
62,Yves Bissouma,ml,MF,Tottenham,26,1996,23.0,1689,1842,91.7,25078,7214,948,1006,94.2,607,651,93.2,68,84,81.0,0,0.4,1.7,-0.4,11,156,12,0,169,Matches
63,Benicio Boaitey,eng,"FW,DF",Brighton,19,2004,0.4,13,20,65.0,188,30,8,11,72.7,5,8,62.5,0,0,,0,0.1,0.1,-0.1,1,0,0,0,2,Matches
64,Oscar Bobb,no,"FW,MF",Manchester City,20,2003,3.4,155,177,87.6,2056,478,101,107,94.4,44,51,86.3,4,4,100.0,1,1.2,1.3,-0.2,9,3,19,1,25,Matches
65,Jayden Bogle,eng,DF,Sheffield Utd,23,2000,31.0,684,968,70.7,10589,3926,405,472,85.8,216,301,71.8,51,124,41.1,0,1.0,1.2,-1.0,10,45,20,5,60,Matches
66,Willy Boly,ci,DF,Nott'ham Forest,32,1991,16.0,503,671,75.0,9362,4059,201,229,87.8,239,304,78.6,49,109,45.0,1,1.3,0.8,-0.3,9,34,8,0,32,Matches
67,Sven Botman,nl,DF,Newcastle Utd,23,2000,15.3,921,1017,90.6,17027,6760,357,382,93.5,459,489,93.9,98,132,74.2,2,1.0,0.6,+1.0,5,38,1,0,35,Matches
68,Jarrod Bowen,eng,FW,West Ham,26,1996,33.5,484,702,68.9,6899,1825,284,341,83.3,141,188,75.0,34,71,47.9,6,5.5,4.8,+0.5,31,29,13,3,52,Matches
69,Conor Bradley,nir,DF,Liverpool,20,2003,8.4,419,530,79.1,6224,1849,238,275,86.5,149,190,78.4,20,35,57.1,3,1.5,1.2,+1.5,15,27,13,3,29,Matches
70,Jarrad Branthwaite,eng,DF,Everton,21,2002,34.6,1105,1385,79.8,20561,8048,440,507,86.8,531,612,86.8,115,212,54.2,0,1.0,1.3,-1.0,4,60,1,0,74,Matches
71,Ben Brereton,cl,"FW,MF",Sheffield Utd,24,1999,12.3,200,265,75.5,2833,720,127,149,85.2,58,76,76.3,12,17,70.6,1,1.5,1.1,-0.5,8,22,12,2,37,Matches
72,Rhian Brewster,eng,"FW,MF",Sheffield Utd,23,2000,3.8,52,76,68.4,702,178,35,41,85.4,10,22,45.5,4,7,57.1,0,0.1,0.1,-0.1,2,6,1,0,3,Matches
73,Armando Broja,al,FW,Chelsea,21,2001,5.0,83,94,88.3,932,91,60,64,93.8,15,18,83.3,1,2,50.0,0,0.2,0.3,-0.2,3,2,2,0,6,Matches
74,Armando Broja,al,FW,Fulham,21,2001,1.0,19,27,70.4,200,71,15,19,78.9,4,5,80.0,0,0,,1,0.4,0.0,+0.6,1,4,1,0,2,Matches
75,Andre Brooks,eng,"MF,DF",Sheffield Utd,19,2003,10.4,196,261,75.1,2943,511,109,131,83.2,80,97,82.5,6,19,31.6,0,0.1,0.3,-0.1,3,11,5,0,18,Matches
76,David Brooks,wls,"FW,MF",Bournemouth,26,1997,3.1,95,132,72.0,1545,666,47,55,85.5,34,42,81.0,10,23,43.5,1,1.0,0.5,0.0,8,14,12,3,21,Matches
77,Jacob Brown,sct,"MF,FW",Luton Town,25,1998,11.3,136,247,55.1,1865,626,91,127,71.7,35,56,62.5,6,24,25.0,0,0.7,0.4,-0.7,8,6,3,1,19,Matches
78,Josh Brownhill,eng,MF,Burnley,27,1995,25.0,850,1106,76.9,13206,3449,451,532,84.8,311,393,79.1,55,114,48.2,2,2.1,2.1,-0.1,34,71,16,0,90,Matches
79,Jacob Bruun Larsen,dk,"MF,FW",Burnley,24,1998,13.9,378,526,71.9,6208,1406,208,257,80.9,120,162,74.1,39,64,60.9,0,1.5,1.8,-1.5,25,12,13,2,38,Matches
80,Hugo Bueno,es,"DF,MF",Wolves,20,2002,8.2,318,406,78.3,4380,1005,211,237,89.0,92,117,78.6,11,27,40.7,0,0.8,0.7,-0.8,6,11,8,8,8,Matches
81,Santiago Bueno,uy,DF,Wolves,24,1998,9.1,426,480,88.8,7158,2158,177,192,92.2,223,237,94.1,18,37,48.6,0,0.1,0.0,-0.1,2,16,0,0,11,Matches
82,Facundo Buonanotte,ar,"FW,MF",Brighton,18,2004,15.2,404,478,84.5,5038,1028,270,306,88.2,95,109,87.2,9,15,60.0,1,1.8,1.2,-0.8,18,26,14,1,42,Matches
83,Reece Burke,eng,DF,Luton Town,26,1996,18.4,547,719,76.1,10396,4169,200,247,81.0,280,325,86.2,57,120,47.5,4,1.4,0.9,+2.6,13,58,9,3,67,Matches
84,Dan Burn,eng,DF,Newcastle Utd,31,1992,30.3,1351,1667,81.0,22402,8237,606,702,86.3,676,788,85.8,54,111,48.6,2,1.1,1.1,+0.9,10,67,7,3,75,Matches
85,Mason Burstow,eng,FW,Chelsea,19,2003,0.1,3,4,75.0,29,1,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
86,Moisés Caicedo,ec,MF,Chelsea,21,2001,31.8,1907,2119,90.0,29696,8181,1046,1120,93.4,673,726,92.7,124,162,76.5,3,2.6,2.0,+0.4,23,176,20,0,173,Matches
87,Tom Cairney,sct,MF,Fulham,32,1991,16.5,1126,1272,88.5,17463,3797,603,644,93.6,422,454,93.0,68,109,62.4,4,2.3,2.5,+1.7,26,84,25,4,145,Matches
88,Dominic Calvert-Lewin,eng,FW,Everton,26,1997,24.1,248,440,56.4,2917,647,175,271,64.6,49,99,49.5,6,12,50.0,2,3.1,1.6,-1.1,19,13,12,0,31,Matches
89,Thomas Cannon,ie,FW,Everton,20,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
90,Diego Carlos,br,DF,Aston Villa,30,1993,20.2,1184,1340,88.4,23313,9315,357,378,94.4,714,749,95.3,107,199,53.8,0,0.1,0.4,-0.1,3,72,4,0,59,Matches
91,Cesare Casadei,it,"FW,MF",Chelsea,20,2003,0.9,53,65,81.5,792,155,29,34,85.3,17,22,77.3,4,4,100.0,0,0.1,0.1,-0.1,2,2,0,0,3,Matches
92,Casemiro,br,"MF,DF",Manchester Utd,31,1992,22.0,1165,1425,81.8,20136,7677,536,596,89.9,489,568,86.1,105,187,56.1,2,1.0,1.2,+1.0,16,124,18,3,112,Matches
93,Kaelan Casey,eng,DF,West Ham,18,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
94,Matty Cash,pl,DF,Aston Villa,25,1997,23.8,985,1225,80.4,16094,4888,490,545,89.9,415,501,82.8,63,131,48.1,2,2.3,2.5,-0.3,13,69,19,8,88,Matches
95,Timothy Castagne,be,DF,Fulham,27,1995,29.3,1350,1662,81.2,21238,7361,705,794,88.8,514,595,86.4,91,162,56.2,3,1.9,1.8,+1.1,18,74,17,8,77,Matches
96,Jonny Castro,es,MF,Wolves,29,1994,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
97,Trevoh Chalobah,eng,DF,Chelsea,24,1999,10.6,700,783,89.4,12088,3518,278,302,92.1,377,397,95.0,35,70,50.0,0,0.1,0.4,-0.1,2,30,2,0,31,Matches
98,Calum Chambers,eng,"MF,DF",Aston Villa,28,1995,1.7,100,113,88.5,1705,512,47,50,94.0,45,47,95.7,6,10,60.0,1,0.1,0.0,+0.9,1,2,0,0,5,Matches
99,Youssef Chermiti,pt,FW,Everton,19,2004,2.3,35,58,60.3,486,108,19,32,59.4,12,19,63.2,1,1,100.0,0,0.8,0.3,-0.8,4,1,4,0,5,Matches
100,Ben Chilwell,eng,DF,Chelsea,26,1996,8.4,373,495,75.4,5230,1552,230,259,88.8,112,143,78.3,18,48,37.5,1,2.2,1.8,-1.2,14,29,2,2,25,Matches
101,Tawanda Chirewa,zw,"MF,FW",Wolves,19,2003,1.6,46,58,79.3,664,151,29,31,93.5,14,18,77.8,2,3,66.7,0,0.0,0.1,0.0,1,3,3,2,7,Matches
102,Leon Chiwome,eng,FW,Wolves,17,2006,1.9,19,22,86.4,244,59,12,13,92.3,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
103,Tahith Chong,nl,"MF,FW",Luton Town,23,1999,22.0,428,550,77.8,6679,1643,227,257,88.3,149,189,78.8,32,54,59.3,0,0.5,1.4,-0.5,10,35,20,8,72,Matches
104,Ryan Christie,sct,MF,Bournemouth,28,1995,32.3,988,1300,76.0,18802,5120,399,467,85.4,425,510,83.3,143,253,56.5,5,5.4,5.4,-0.4,55,118,42,7,167,Matches
105,Carney Chukwuemeka,eng,"MF,FW",Chelsea,19,2003,2.5,115,134,85.8,1476,266,82,88,93.2,26,31,83.9,4,5,80.0,1,0.3,0.3,+0.7,4,4,6,0,12,Matches
106,Bobby Clark,eng,MF,Liverpool,18,2005,1.0,38,49,77.6,465,64,23,29,79.3,11,12,91.7,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
107,Jordan Clark,eng,MF,Luton Town,29,1993,14.5,369,513,71.9,6108,1636,180,231,77.9,136,173,78.6,33,63,52.4,1,1.3,1.2,-0.3,12,19,18,4,51,Matches
108,Nathaniel Clyne,eng,DF,Crystal Palace,32,1991,14.9,495,600,82.5,7555,3021,266,288,92.4,191,224,85.3,28,54,51.9,0,0.2,0.2,-0.2,3,33,4,2,33,Matches
109,Séamus Coleman,ie,DF,Everton,34,1988,7.4,207,306,67.6,3381,1481,111,132,84.1,76,103,73.8,16,51,31.4,0,1.0,0.7,-1.0,3,15,4,2,22,Matches
110,Nathan Collins,ie,DF,Brentford,22,2001,29.5,1261,1552,81.3,23470,8772,462,528,87.5,660,757,87.2,116,214,54.2,1,2.2,1.1,-1.2,11,78,6,0,97,Matches
111,Levi Colwill,eng,DF,Chelsea,20,2003,20.0,965,1163,83.0,16310,5939,444,495,89.7,456,508,89.8,51,117,43.6,1,1.2,0.5,-0.2,7,82,6,0,73,Matches
112,Lewis Cook,eng,MF,Bournemouth,26,1997,31.0,1135,1487,76.3,20294,6864,458,539,85.0,539,616,87.5,112,257,43.6,3,4.3,3.0,-1.3,46,138,20,4,142,Matches
113,Jack Cork,eng,MF,Burnley,34,1989,0.3,25,33,75.8,370,77,13,16,81.3,10,10,100.0,1,3,33.3,0,0.0,0.0,0.0,0,5,0,0,4,Matches
114,Maxwel Cornet,ci,"MF,FW",West Ham,26,1996,1.2,36,49,73.5,407,70,27,34,79.4,6,8,75.0,0,1,0.0,0,0.2,0.0,-0.2,4,0,0,0,2,Matches
115,Vladimír Coufal,cz,DF,West Ham,30,1992,34.8,1154,1665,69.3,18778,9229,596,669,89.1,448,627,71.5,84,254,33.1,7,4.0,3.0,+3.0,33,98,38,21,119,Matches
116,Philippe Coutinho,br,"MF,FW",Aston Villa,31,1992,0.3,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,,0,0.0,0.0,0.0,0,4,0,0,5,Matches
117,Aaron Cresswell,eng,"DF,FW",West Ham,33,1989,4.8,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,Matches
118,Marc Cucurella,es,DF,Chelsea,25,1998,19.8,1036,1196,86.6,15110,4408,595,645,92.2,383,430,89.1,32,65,49.2,2,1.1,1.2,+0.9,19,51,7,4,50,Matches
119,Josh Cullen,ie,MF,Burnley,27,1996,22.9,1173,1373,85.4,18812,4917,617,667,92.5,466,521,89.4,69,127,54.3,3,1.8,2.3,+1.2,26,119,17,3,123,Matches
120,Matheus Cunha,br,"FW,MF",Wolves,24,1999,27.1,658,831,79.2,8887,2308,411,476,86.3,182,229,79.5,32,57,56.1,7,3.2,3.0,+3.8,28,56,31,1,87,Matches
121,Sam Curtis,ie,DF,Sheffield Utd,17,2005,0.3,6,10,60.0,98,37,3,4,75.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
122,Mahmoud Dahoud,de,MF,Brighton,27,1996,5.0,284,328,86.6,4011,886,169,176,96.0,84,99,84.8,16,25,64.0,1,0.9,0.4,+0.1,10,21,1,1,11,Matches
123,Ameen Al-Dakhil,be,DF,Burnley,21,2002,11.7,537,637,84.3,9642,2939,208,220,94.5,280,321,87.2,42,77,54.5,0,0.1,0.6,-0.1,2,13,2,0,35,Matches
124,Diogo Dalot,pt,DF,Manchester Utd,24,1999,35.3,1486,1830,81.2,24927,8066,729,817,89.2,574,701,81.9,139,213,65.3,3,2.9,2.4,+0.1,37,107,31,16,124,Matches
125,Mikkel Damsgaard,dk,MF,Brentford,23,2000,9.4,300,432,69.4,4940,1897,151,194,77.8,116,151,76.8,26,55,47.3,2,1.4,0.9,+0.6,10,50,11,1,61,Matches
126,Danilo,br,MF,Nott'ham Forest,22,2001,19.9,589,758,77.7,10498,3239,255,297,85.9,247,286,86.4,70,123,56.9,2,1.5,0.7,+0.5,20,74,14,0,83,Matches
127,Arnaut Danjuma,nl,"MF,FW",Everton,26,1997,6.6,102,152,67.1,1420,357,57,69,82.6,37,54,68.5,2,7,28.6,0,1.1,0.4,-1.1,6,6,2,0,9,Matches
128,Jayden Danns,eng,FW,Liverpool,17,2006,0.1,5,7,71.4,73,16,3,4,75.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
129,Josh Dasilva,eng,"DF,FW",Brentford,24,1998,0.3,10,19,52.6,153,59,5,7,71.4,5,7,71.4,0,2,0.0,0,0.2,0.2,-0.2,1,0,0,0,2,Matches
130,David Datro Fofana,ci,FW,Burnley,20,2002,9.8,117,173,67.6,1574,343,67,94,71.3,36,49,73.5,5,6,83.3,1,1.8,0.3,-0.8,8,9,5,1,15,Matches
131,Ben Davies,wls,DF,Tottenham,30,1993,12.1,766,850,90.1,13839,5258,303,324,93.5,388,413,93.9,60,81,74.1,0,0.4,0.6,-0.4,4,80,4,0,71,Matches
132,Tom Davies,eng,MF,Sheffield Utd,25,1998,2.5,68,99,68.7,901,310,41,50,82.0,20,27,74.1,2,7,28.6,0,0.1,0.2,-0.1,1,6,1,0,8,Matches
133,Craig Dawson,eng,DF,Wolves,33,1990,24.5,1104,1277,86.5,23417,8062,296,333,88.9,640,679,94.3,158,237,66.7,1,1.4,0.6,-0.4,9,52,2,0,49,Matches
134,Kevin De Bruyne,be,MF,Manchester City,32,1991,13.6,732,971,75.4,11555,3364,426,481,88.6,223,293,76.1,66,134,49.3,10,11.5,7.1,-1.5,59,67,56,12,111,Matches
135,Hannes Delcroix,be,DF,Burnley,24,1999,6.5,300,350,85.7,4932,1666,145,155,93.5,135,154,87.7,16,31,51.6,0,0.2,0.1,-0.2,4,24,3,2,18,Matches
136,Leander Dendoncker,be,MF,Aston Villa,28,1995,1.3,45,56,80.4,744,139,24,28,85.7,19,22,86.4,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
137,Moussa Diaby,fr,"FW,MF",Aston Villa,24,1999,24.2,485,619,78.4,6960,1348,280,329,85.1,170,215,79.1,17,32,53.1,8,6.6,4.5,+1.4,47,29,40,9,72,Matches
138,Amad Diallo,ci,"FW,MF",Manchester Utd,21,2002,4.3,149,170,87.6,1931,279,105,115,91.3,32,37,86.5,4,5,80.0,1,1.1,0.5,-0.1,10,6,3,0,10,Matches
139,Amadou Diallo,eng,MF,Newcastle Utd,20,2003,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
140,Rúben Dias,pt,DF,Manchester City,26,1997,28.4,2469,2635,93.7,42764,13568,1039,1076,96.6,1256,1306,96.2,146,204,71.6,0,0.3,1.9,-0.3,7,220,12,3,173,Matches
141,Luis Díaz,co,FW,Liverpool,26,1997,29.2,898,1075,83.5,13772,2931,527,584,90.2,274,320,85.6,68,91,74.7,5,5.7,4.7,-0.7,64,62,45,3,113,Matches
142,Eric Dier,eng,DF,Tottenham,29,1994,2.2,125,141,88.7,2070,1037,52,57,91.2,69,72,95.8,3,10,30.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
143,Lucas Digne,fr,DF,Aston Villa,30,1993,26.8,1015,1351,75.1,16244,5595,524,594,88.2,406,529,76.7,66,148,44.6,3,4.1,3.6,-1.1,37,49,34,15,77,Matches
144,Issa Diop,fr,DF,Fulham,26,1997,15.8,950,1080,88.0,17646,6371,333,358,93.0,555,594,93.4,53,98,54.1,0,0.0,0.4,0.0,0,60,3,0,66,Matches
145,Axel Disasi,fr,DF,Chelsea,25,1998,28.7,2031,2256,90.0,34081,11464,877,913,96.1,1050,1124,93.4,86,168,51.2,0,0.3,1.0,-0.3,3,115,8,1,112,Matches
146,Ben Doak,sct,FW,Liverpool,17,2005,0.2,4,4,100.0,45,8,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
147,Lewis Dobbin,eng,MF,Everton,20,2003,2.6,44,65,67.7,537,95,32,36,88.9,9,17,52.9,2,5,40.0,0,0.5,0.1,-0.5,4,0,3,1,3,Matches
148,Matt Doherty,ie,"DF,MF",Wolves,31,1992,12.8,515,653,78.9,7798,2105,296,348,85.1,174,212,82.1,31,55,56.4,0,1.3,0.9,-1.3,12,22,7,1,31,Matches
149,Jeremy Doku,be,"FW,MF",Manchester City,21,2002,17.7,693,852,81.3,9699,1538,452,507,89.2,198,254,78.0,26,33,78.8,8,4.6,5.9,+3.4,45,14,40,7,57,Matches
150,Nicolás Domínguez,ar,"MF,FW",Nott'ham Forest,25,1998,16.6,714,843,84.7,10894,3223,380,424,89.6,254,298,85.2,45,61,73.8,2,1.0,1.3,+1.0,10,61,16,1,91,Matches
151,Jamie Donley,eng,FW,Tottenham,18,2005,0.0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
152,Abdoulaye Doucouré,ml,"FW,MF",Everton,30,1993,29.2,683,893,76.5,9807,2329,381,453,84.1,239,288,83.0,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,Matches
153,Cheick Doucouré,ml,MF,Crystal Palace,23,2000,10.2,367,422,87.0,5725,1849,200,222,90.1,146,165,88.5,18,24,75.0,0,0.7,0.8,-0.7,10,39,5,0,49,Matches
