,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
57,Ross Barkley,eng,MF,Luton Town,29,1993,32,"2,618",82,76.5,29.1,30,86,24,2,15,0,0.69,43,66,-23,-0.79,+0.33,31.4,59.3,-27.9,-0.96,-0.10,Matches
58,Harvey Barnes,eng,"FW,MF",Newcastle Utd,25,1997,21,802,38,23.5,8.9,7,67,1,14,24,0,1.76,24,10,+14,+1.57,+1.26,19.7,10.1,+9.6,+1.07,+0.90,Matches
59,Ty Barnett,eng,MF,Wolves,18,2005,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
60,Luca Barrington,eng,MF,Brighton,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
61,Chris Basham,eng,"DF,MF",Sheffield Utd,35,1988,8,321,40,9.4,3.6,3,68,1,5,24,0,0.13,2,6,-4,-1.12,+0.77,3.4,7.3,-4.0,-1.11,-0.11,Matches
62,Calvin Bassey,ng,DF,Fulham,23,1999,29,"2,303",79,67.3,25.6,25,90,24,4,15,4,1.31,44,42,+2,+0.08,+0.72,36.4,39.6,-3.2,-0.12,+0.60,Matches
63,Altay Bayındır,tr,GK,Manchester Utd,25,1998,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches
64,Eddie Beach,wls,GK,Chelsea,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
65,Owen Beck,wls,DF,Liverpool,20,2002,1,8,8,0.2,0.1,0,,0,1,8,0,3.00,1,0,+1,+11.25,+10.09,0.3,0.9,-0.6,-6.87,-7.99,Matches
66,Donny van de Beek,nl,DF,Manchester Utd,26,1997,1,3,3,0.1,0.0,0,,0,1,3,11,0.00,0,0,0,0.00,+0.03,0.2,0.0,+0.2,+5.54,+5.87,Matches
67,Amari'i Bell,jm,DF,Luton Town,29,1994,21,"1,720",82,50.3,19.1,21,82,18,0,,0,0.86,30,41,-11,-0.58,+0.59,24.6,38.1,-13.5,-0.71,+0.46,Matches
68,Jean-Ricner Bellegarde,fr,"MF,FW",Wolves,25,1998,22,958,44,28.0,10.6,10,61,1,12,29,0,1.23,7,23,-16,-1.50,-1.54,9.9,23.2,-13.2,-1.24,-0.96,Matches
69,Anis Ben Slimane,tn,MF,Sheffield Utd,22,2001,15,419,28,12.3,4.7,4,61,0,11,16,13,0.33,2,14,-12,-2.58,-0.87,2.4,9.8,-7.4,-1.59,-0.66,Matches
70,Rhys Bennett,eng,DF,Manchester Utd,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
71,Saïd Benrahma,dz,"FW,MF",West Ham,27,1995,13,620,48,18.1,6.9,5,73,1,8,32,7,1.62,12,8,+4,+0.58,+1.16,10.1,13.0,-2.9,-0.43,+0.08,Matches
72,Rodrigo Bentancur,uy,MF,Tottenham,26,1997,23,"1,005",44,29.4,11.2,13,59,1,10,24,0,1.43,17,25,-8,-0.72,-1.50,19.9,20.7,-0.8,-0.07,-0.28,Matches
73,Daniel Bentley,eng,GK,Wolves,30,1993,5,383,77,11.2,4.3,3,90,3,2,57,33,0.60,3,7,-4,-0.94,-0.61,4.2,7.6,-3.4,-0.79,-0.26,Matches
74,Jóhann Berg Guðmundsson,is,"MF,FW",Burnley,32,1990,26,"1,192",46,34.9,13.2,12,68,1,14,27,5,0.50,20,25,-5,-0.38,+0.92,14.8,21.0,-6.2,-0.47,+0.48,Matches
75,Sander Berge,no,MF,Burnley,25,1998,37,"3,005",81,87.9,33.4,34,86,28,3,26,0,0.62,36,69,-33,-0.99,-0.12,36.0,63.5,-27.4,-0.82,-0.33,Matches
76,Lucas Bergström,fi,GK,Chelsea,20,2002,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
77,Luke Berry,eng,"MF,DF",Luton Town,31,1992,17,323,19,9.4,3.6,2,69,0,15,12,16,0.59,8,8,0,0.00,+0.96,4.2,9.8,-5.6,-1.56,-0.69,Matches
78,Beto,gw,FW,Everton,25,1998,30,951,32,27.8,10.6,9,72,2,21,15,2,1.20,16,20,-4,-0.38,-0.12,17.5,18.0,-0.5,-0.04,-0.02,Matches
79,Marcus Bettinelli,eng,GK,Chelsea,31,1992,0,,,0.0,0.0,0,,0,0,,17,0.00,1,2,-1,,,,,,,,Matches
80,Jordan Beyer,de,DF,Burnley,23,2000,15,"1,234",82,36.1,13.7,15,82,10,0,,0,0.73,14,23,-9,-0.66,+0.50,10.7,20.5,-9.8,-0.72,+0.10,Matches
81,Philip Billing,dk,MF,Bournemouth,27,1996,29,"1,398",48,40.9,15.5,13,83,6,16,20,4,1.24,18,36,-18,-1.16,-1.38,18.8,29.2,-10.4,-0.67,-1.04,Matches
82,Yves Bissouma,ml,MF,Tottenham,26,1996,28,"2,068",74,60.5,23.0,26,77,8,2,28,0,1.75,45,35,+10,+0.44,+0.24,37.3,37.8,-0.5,-0.02,-0.38,Matches
83,Billy Blacker,eng,FW,Sheffield Utd,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
84,Benicio Boaitey,eng,"FW,DF",Brighton,19,2004,5,40,8,1.2,0.4,0,,0,5,8,9,1.00,1,1,0,0.00,+0.19,0.9,0.8,+0.1,+0.13,+0.09,Matches
85,Oscar Bobb,no,"FW,MF",Manchester City,20,2003,14,302,22,8.8,3.4,2,75,1,12,13,21,2.57,12,5,+7,+2.09,+0.50,9.3,3.1,+6.3,+1.86,+0.75,Matches
86,Jayden Bogle,eng,DF,Sheffield Utd,23,2000,34,"2,788",82,81.5,31.0,32,84,23,2,43,1,0.44,29,79,-50,-1.61,+1.09,32.4,58.3,-25.9,-0.84,+0.94,Matches
87,Willy Boly,ci,DF,Nott'ham Forest,32,1991,20,"1,438",72,42.0,16.0,18,79,11,2,10,3,1.00,17,23,-6,-0.38,+0.17,20.6,23.2,-2.5,-0.16,-0.12,Matches
88,Sven Botman,nl,DF,Newcastle Utd,23,2000,17,"1,377",81,40.3,15.3,15,88,12,2,31,0,1.35,37,29,+8,+0.52,-0.14,26.3,31.0,-4.7,-0.31,-1.16,Matches
89,Jarrod Bowen,eng,FW,West Ham,26,1996,34,"3,019",89,88.3,33.5,34,89,31,0,,0,1.44,53,63,-10,-0.30,+0.60,47.8,62.1,-14.2,-0.42,+0.58,Matches
90,Conor Bradley,nir,DF,Liverpool,20,2003,11,753,68,22.0,8.4,10,73,2,1,20,8,2.36,18,7,+11,+1.31,+0.17,18.7,7.3,+11.3,+1.35,+0.32,Matches
91,Jarrad Branthwaite,eng,DF,Everton,21,2002,35,"3,116",89,91.1,34.6,35,89,34,0,,2,1.29,38,44,-6,-0.17,+1.31,49.1,49.0,+0.1,0.00,+0.37,Matches
92,Ben Brereton,cl,"FW,MF",Sheffield Utd,24,1999,14,"1,105",79,32.3,12.3,14,79,8,0,,1,0.29,16,37,-21,-1.71,+0.16,16.3,23.7,-7.3,-0.60,+0.61,Matches
93,Rhian Brewster,eng,"FW,MF",Sheffield Utd,23,2000,13,346,27,10.1,3.8,3,61,0,10,16,1,0.54,0,8,-8,-2.08,-0.29,1.7,7.2,-5.4,-1.42,-0.45,Matches
94,Ethan Brierley,eng,MF,Brentford,19,2003,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
95,Armando Broja,al,FW,Chelsea,21,2001,13,454,35,13.3,5.0,6,60,0,7,14,1,1.69,8,5,+3,+0.59,+0.26,10.5,5.7,+4.9,+0.97,+0.61,Matches
96,Armando Broja,al,FW,Fulham,21,2001,8,88,11,2.6,1.0,0,,0,8,11,4,1.38,2,4,-2,-2.05,-1.94,2.3,2.8,-0.5,-0.53,-0.21,Matches
97,Joshua Brooking,eng,DF,Chelsea,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
98,Andre Brooks,eng,"MF,DF",Sheffield Utd,19,2003,20,938,47,27.4,10.4,12,62,0,8,24,11,0.25,5,29,-24,-2.30,-0.67,9.4,19.2,-9.8,-0.94,+0.09,Matches
99,David Brooks,wls,"FW,MF",Bournemouth,26,1997,13,282,22,8.2,3.1,2,65,0,11,14,7,0.92,5,7,-2,-0.64,-0.32,5.6,6.1,-0.5,-0.16,-0.11,Matches
100,Jacob Brown,sct,"MF,FW",Luton Town,25,1998,19,"1,019",54,29.8,11.3,12,73,4,7,21,2,0.84,16,26,-10,-0.88,-0.02,11.1,26.4,-15.3,-1.36,-0.60,Matches
101,Josh Brownhill,eng,MF,Burnley,27,1995,33,"2,252",68,65.8,25.0,23,87,18,10,26,4,0.67,27,53,-26,-1.04,-0.19,25.5,44.1,-18.5,-0.74,+0.12,Matches
102,Jacob Bruun Larsen,dk,"MF,FW",Burnley,24,1998,32,"1,249",39,36.5,13.9,16,64,0,16,14,5,0.69,15,23,-8,-0.58,+0.63,19.2,24.3,-5.2,-0.37,+0.64,Matches
103,Hugo Bueno,es,"DF,MF",Wolves,20,2002,22,741,34,21.7,8.2,7,76,1,15,14,11,1.14,7,16,-9,-1.09,-0.89,7.8,13.5,-5.7,-0.70,-0.18,Matches
104,Santiago Bueno,uy,DF,Wolves,24,1998,12,822,69,24.0,9.1,9,84,7,3,21,18,0.92,12,18,-6,-0.66,-0.35,9.8,20.2,-10.3,-1.13,-0.76,Matches
105,Facundo Buonanotte,ar,"FW,MF",Brighton,18,2004,27,"1,364",51,39.9,15.2,17,65,1,10,25,6,1.19,18,19,-1,-0.07,+0.20,23.2,21.1,+2.1,+0.14,+0.17,Matches
106,Reece Burke,eng,DF,Luton Town,26,1996,22,"1,660",75,48.5,18.4,20,79,12,2,41,3,0.68,24,37,-13,-0.70,+0.32,21.8,36.5,-14.8,-0.80,+0.26,Matches
107,Dan Burn,eng,DF,Newcastle Utd,31,1992,33,"2,726",83,79.7,30.3,32,85,24,1,18,0,1.64,74,45,+29,+0.96,+1.74,63.0,44.9,+18.0,+0.60,+1.04,Matches
108,Mason Burstow,eng,FW,Chelsea,19,2003,2,9,5,0.3,0.1,0,,0,2,5,1,1.50,0,1,-1,-10.00,-10.40,0.1,0.9,-0.8,-7.71,-8.16,Matches
109,Jili Buyabu,eng,MF,Sheffield Utd,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
110,Moisés Caicedo,ec,MF,Chelsea,21,2001,35,"2,866",82,83.8,31.8,33,85,23,2,26,0,1.74,67,50,+17,+0.53,+1.02,60.8,46.3,+14.5,+0.46,+0.15,Matches
111,Tom Cairney,sct,MF,Fulham,32,1991,34,"1,488",44,43.5,16.5,14,77,6,20,21,4,1.18,29,27,+2,+0.12,+0.49,25.9,28.7,-2.8,-0.17,+0.26,Matches
112,Dominic Calvert-Lewin,eng,FW,Everton,26,1997,32,"2,171",68,63.5,24.1,26,78,4,6,26,0,1.28,26,27,-1,-0.04,+0.68,32.4,31.2,+1.3,+0.05,+0.23,Matches
113,Allan Campbell,sct,MF,Luton Town,25,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
114,Elijah Campbell,eng,DF,Everton,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
115,Thomas Cannon,ie,FW,Everton,20,2002,1,1,1,0.0,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+0.29,0.0,0.2,-0.2,-19.26,-19.24,Matches
116,Diego Carlos,br,DF,Aston Villa,30,1993,27,"1,816",67,53.1,20.2,20,86,18,7,15,5,1.56,35,36,-1,-0.05,-0.95,31.4,33.8,-2.4,-0.12,-0.44,Matches
117,Álvaro Carreras,es,"DF,MF",Manchester Utd,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
118,Scott Carson,eng,GK,Manchester City,37,1985,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
119,Cesare Casadei,it,"FW,MF",Chelsea,20,2003,11,79,7,2.3,0.9,0,,0,11,7,6,1.91,2,3,-1,-1.14,-1.54,1.5,3.5,-1.9,-2.21,-2.71,Matches
120,Casemiro,br,"MF,DF",Manchester Utd,31,1992,25,"1,982",79,58.0,22.0,24,82,18,1,11,1,1.60,36,34,+2,+0.09,+0.28,33.2,40.3,-7.2,-0.33,0.00,Matches
121,Kaelan Casey,eng,DF,West Ham,18,2004,1,1,1,0.0,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,+0.37,0.7,0.0,+0.7,+59.11,+59.62,Matches
122,Matty Cash,pl,DF,Aston Villa,25,1997,29,"2,142",74,62.6,23.8,23,84,16,6,34,2,1.86,49,36,+13,+0.55,+0.41,41.2,36.6,+4.6,+0.19,+0.28,Matches
123,Timothy Castagne,be,DF,Fulham,27,1995,34,"2,634",77,77.0,29.3,29,88,25,5,16,1,1.26,41,40,+1,+0.03,+0.84,40.8,40.7,+0.1,0.00,+1.40,Matches
124,Leo Castledine,eng,MF,Chelsea,17,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
125,Jonny Castro,es,MF,Wolves,29,1994,1,5,5,0.1,0.1,0,,0,1,5,7,3.00,0,0,0,0.00,+0.40,0.0,0.1,-0.1,-1.27,-0.72,Matches
126,Trevoh Chalobah,eng,DF,Chelsea,24,1999,13,952,73,27.8,10.6,10,89,9,3,20,1,2.15,31,14,+17,+1.61,+1.72,20.0,15.4,+4.6,+0.44,0.00,Matches
127,Calum Chambers,eng,"MF,DF",Aston Villa,28,1995,5,152,30,4.4,1.7,1,67,0,4,21,26,0.80,3,6,-3,-1.78,-2.27,3.1,4.9,-1.8,-1.04,-1.19,Matches
128,Luke Chambers,eng,DF,Liverpool,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
129,Ismaila Cheick Coulibaly,ml,MF,Sheffield Utd,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
130,Youssef Chermiti,pt,FW,Everton,19,2004,18,208,12,6.1,2.3,1,89,0,17,7,18,1.33,3,4,-1,-0.43,-0.15,4.8,5.0,-0.2,-0.07,-0.04,Matches
131,Christian Chigozie,eng,DF,Luton Town,16,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
132,Ben Chilwell,eng,DF,Chelsea,26,1996,13,756,58,22.1,8.4,9,77,3,4,17,1,1.23,13,14,-1,-0.12,-0.63,14.8,12.2,+2.6,+0.30,-0.17,Matches
133,Tawanda Chirewa,zw,"MF,FW",Wolves,19,2003,8,145,18,4.2,1.6,1,74,0,7,10,15,0.25,0,2,-2,-1.24,-0.88,0.8,1.5,-0.7,-0.44,+0.11,Matches
134,Leon Chiwome,eng,FW,Wolves,17,2006,3,174,58,5.1,1.9,2,79,0,1,16,1,0.33,1,4,-3,-1.55,-1.22,2.2,2.2,-0.1,-0.04,+0.54,Matches
135,Tahith Chong,nl,"MF,FW",Luton Town,23,1999,33,"1,982",60,58.0,22.0,20,80,6,13,29,5,0.45,26,51,-25,-1.14,-0.63,22.6,47.2,-24.7,-1.12,-0.44,Matches
136,Samy Chouchane,tn,MF,Brighton,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
137,Ryan Christie,sct,MF,Bournemouth,28,1995,37,"2,907",79,85.0,32.3,35,81,18,2,29,0,1.22,44,56,-12,-0.37,-0.20,46.3,48.3,-2.0,-0.06,-0.03,Matches
138,Carney Chukwuemeka,eng,"MF,FW",Chelsea,19,2003,9,227,25,6.6,2.5,2,63,0,7,15,4,1.56,7,5,+2,+0.79,+0.45,5.4,4.6,+0.8,+0.32,-0.13,Matches
139,Bobby Clark,eng,MF,Liverpool,18,2005,5,89,18,2.6,1.0,1,59,0,4,8,6,3.00,2,0,+2,+2.02,+0.86,1.7,1.7,-0.1,-0.05,-1.19,Matches
140,Jordan Clark,eng,MF,Luton Town,29,1993,23,"1,304",57,38.1,14.5,14,78,4,9,24,4,0.57,22,41,-19,-1.31,-0.72,18.0,30.4,-12.4,-0.86,+0.13,Matches
141,Nathaniel Clyne,eng,DF,Crystal Palace,32,1991,19,"1,338",70,39.1,14.9,14,87,10,5,24,18,1.53,31,16,+15,+1.01,+1.70,21.5,20.9,+0.6,+0.04,+0.21,Matches
142,Séamus Coleman,ie,DF,Everton,34,1988,12,665,55,19.4,7.4,7,80,5,5,21,6,1.08,5,10,-5,-0.68,-0.48,11.2,10.6,+0.6,+0.08,+0.14,Matches
143,Nathan Collins,ie,DF,Brentford,22,2001,32,"2,652",83,77.5,29.5,29,90,28,3,18,1,1.13,47,51,-4,-0.14,+0.45,47.5,41.9,+5.6,+0.19,+0.58,Matches
144,Toby Collyer,eng,MF,Manchester Utd,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
145,Levi Colwill,eng,DF,Chelsea,20,2003,23,"1,797",78,52.5,20.0,20,84,15,3,37,4,1.52,29,26,+3,+0.15,-0.46,35.9,27.8,+8.1,+0.41,-0.06,Matches
146,Lewis Cook,eng,MF,Bournemouth,26,1997,33,"2,786",84,81.5,31.0,32,86,26,1,45,0,1.24,43,50,-7,-0.23,+0.63,46.1,45.8,+0.3,+0.01,+0.36,Matches
147,Jack Cork,eng,MF,Burnley,34,1989,4,27,7,0.8,0.3,0,,0,4,7,18,0.25,1,0,+1,+3.33,+4.34,0.7,0.1,+0.6,+1.89,+2.69,Matches
148,Maxwel Cornet,ci,"MF,FW",West Ham,26,1996,7,112,16,3.3,1.2,1,69,0,6,7,21,0.43,2,3,-1,-0.80,-0.45,1.3,3.1,-1.8,-1.44,-0.98,Matches
149,Vladimír Coufal,cz,DF,West Ham,30,1992,36,"3,132",87,91.6,34.8,36,87,28,0,,0,1.39,57,69,-12,-0.34,+0.28,48.5,63.9,-15.5,-0.44,+0.58,Matches
150,Philippe Coutinho,br,"MF,FW",Aston Villa,31,1992,2,25,13,0.7,0.3,0,,0,2,13,0,1.50,1,1,0,0.00,-0.40,0.9,0.6,+0.3,+1.16,+1.08,Matches
151,Conor Coventry,ie,MF,West Ham,23,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
152,William Crellin,eng,GK,Everton,23,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
153,Aaron Cresswell,eng,"DF,FW",West Ham,33,1989,11,436,40,12.7,4.8,4,77,2,7,18,21,1.00,6,11,-5,-1.03,-0.76,6.6,5.6,+0.9,+0.19,+0.79,Matches
154,Marc Cucurella,es,DF,Chelsea,25,1998,21,"1,782",85,52.1,19.8,20,87,16,1,45,6,1.81,50,33,+17,+0.86,+1.02,39.8,31.2,+8.5,+0.43,-0.01,Matches
155,Josh Cullen,ie,MF,Burnley,27,1996,25,"2,057",82,60.1,22.9,23,87,18,2,30,8,0.64,25,48,-23,-1.01,-0.08,25.8,45.6,-19.8,-0.87,-0.21,Matches
156,Matheus Cunha,br,"FW,MF",Wolves,24,1999,32,"2,440",76,71.3,27.1,29,81,12,3,29,0,1.16,40,46,-6,-0.22,+0.61,33.9,48.8,-15.0,-0.55,0.00,Matches
157,Ted Curd,eng,GK,Chelsea,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
158,Sam Curtis,ie,DF,Sheffield Utd,17,2005,1,28,28,0.8,0.3,0,,0,1,28,8,0.00,0,0,0,0.00,+1.83,0.4,0.4,0.0,-0.03,+0.99,Matches
159,Michael DaCosta,es,FW,Bournemouth,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
160,Mahmoud Dahoud,de,MF,Brighton,27,1996,9,452,50,13.2,5.0,6,68,0,3,16,8,2.11,10,5,+5,+1.00,+1.36,7.9,4.1,+3.8,+0.76,+0.83,Matches
161,Ameen Al-Dakhil,be,DF,Burnley,21,2002,13,"1,056",81,30.9,11.7,12,86,11,1,21,2,0.38,10,26,-16,-1.36,-0.56,10.8,20.3,-9.5,-0.81,-0.04,Matches
162,Diogo Dalot,pt,DF,Manchester Utd,24,1999,36,"3,174",88,92.8,35.3,35,90,34,1,25,1,1.58,56,55,+1,+0.03,+0.76,51.5,64.3,-12.8,-0.36,-0.47,Matches
163,Mikkel Damsgaard,dk,MF,Brentford,23,2000,23,842,37,24.6,9.4,7,75,0,16,20,3,0.87,17,9,+8,+0.86,+1.45,14.3,10.5,+3.8,+0.41,+0.47,Matches
164,Danilo,br,MF,Nott'ham Forest,22,2001,29,"1,792",62,52.4,19.9,20,80,7,9,20,2,1.03,31,42,-11,-0.55,-0.17,30.4,28.1,+2.3,+0.11,+0.42,Matches
165,Arnaut Danjuma,nl,"MF,FW",Everton,26,1997,14,595,43,17.4,6.6,5,84,2,9,19,14,0.43,3,10,-7,-1.06,-0.93,8.6,9.8,-1.2,-0.18,-0.18,Matches
166,Jayden Danns,eng,FW,Liverpool,17,2006,2,9,5,0.3,0.1,0,,0,2,5,4,3.00,2,0,+2,+20.00,+18.87,0.6,0.1,+0.5,+4.56,+3.47,Matches
167,Josh Dasilva,eng,"DF,FW",Brentford,24,1998,3,24,8,0.7,0.3,0,,0,3,8,1,2.00,0,0,0,0.00,+0.24,0.2,0.1,+0.1,+0.32,+0.27,Matches
168,David Datro Fofana,ci,FW,Burnley,20,2002,15,879,59,25.7,9.8,10,80,5,5,15,1,0.73,10,18,-8,-0.82,+0.21,13.7,17.2,-3.5,-0.36,+0.57,Matches
169,Adam Davies,wls,GK,Sheffield Utd,31,1992,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
170,Ben Davies,wls,DF,Tottenham,30,1993,17,"1,090",64,31.9,12.1,12,86,10,5,12,13,1.82,25,21,+4,+0.33,-0.02,22.1,21.8,+0.3,+0.02,-0.15,Matches
171,Tom Davies,eng,MF,Sheffield Utd,25,1998,9,221,25,6.5,2.5,2,45,0,7,19,1,0.44,2,11,-9,-3.67,-1.98,3.0,7.1,-4.1,-1.67,-0.70,Matches
172,Craig Dawson,eng,DF,Wolves,33,1990,25,"2,209",88,64.6,24.5,25,88,23,0,,2,1.40,33,38,-5,-0.20,+0.54,32.4,39.4,-7.0,-0.29,+0.75,Matches
173,Kevin De Bruyne,be,MF,Manchester City,32,1991,18,"1,221",68,35.7,13.6,15,77,5,3,21,3,2.67,40,8,+32,+2.36,+1.13,30.8,11.4,+19.4,+1.43,+0.39,Matches
174,Luc De Fougerolles,ca,DF,Fulham,17,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
175,Hannes Delcroix,be,DF,Burnley,24,1999,12,589,49,17.2,6.5,5,86,4,7,23,10,0.67,6,25,-19,-2.90,-2.33,6.3,16.1,-9.8,-1.50,-0.87,Matches
176,Leander Dendoncker,be,MF,Aston Villa,28,1995,8,119,15,3.5,1.3,1,85,0,7,5,10,2.25,3,3,0,0.00,-0.41,2.6,1.7,+1.0,+0.72,+0.66,Matches
177,Moussa Diaby,fr,"FW,MF",Aston Villa,24,1999,38,"2,174",57,63.6,24.2,25,75,4,13,23,0,1.79,41,40,+1,+0.04,-0.97,35.9,36.1,-0.1,-0.01,-0.26,Matches
178,Amad Diallo,ci,"FW,MF",Manchester Utd,21,2002,9,390,43,11.4,4.3,3,75,0,6,28,8,1.22,10,6,+4,+0.92,+1.07,7.7,7.4,+0.3,+0.07,+0.45,Matches
179,Amadou Diallo,eng,MF,Newcastle Utd,20,2003,1,1,1,0.0,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,-0.61,0.0,0.0,0.0,0.00,-0.39,Matches
180,Rúben Dias,pt,DF,Manchester City,26,1997,30,"2,559",85,74.8,28.4,28,90,28,2,20,5,2.30,65,28,+37,+1.30,-1.31,62.2,25.4,+36.8,+1.30,+0.45,Matches
181,Luis Díaz,co,FW,Liverpool,26,1997,37,"2,629",71,76.9,29.2,32,78,11,5,24,0,2.14,67,33,+34,+1.16,-0.09,66.1,35.4,+30.7,+1.05,-0.24,Matches
182,Matt Dibley-Dias,nz,MF,Fulham,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
183,Eric Dier,eng,DF,Tottenham,29,1994,4,201,50,5.9,2.2,1,90,1,3,37,8,1.50,1,8,-7,-3.13,-3.69,2.6,6.9,-4.3,-1.94,-2.19,Matches
184,Lucas Digne,fr,DF,Aston Villa,30,1993,33,"2,410",73,70.5,26.8,27,85,18,6,19,0,1.76,54,41,+13,+0.49,+0.31,43.6,41.9,+1.7,+0.06,-0.08,Matches
185,Issa Diop,fr,DF,Fulham,26,1997,18,"1,424",79,41.6,15.8,16,88,13,2,11,3,1.28,12,25,-13,-0.82,-1.14,16.7,30.3,-13.6,-0.86,-0.93,Matches
186,Axel Disasi,fr,DF,Chelsea,25,1998,31,"2,579",83,75.4,28.7,29,89,27,2,5,4,1.52,50,50,0,0.00,-1.50,56.1,43.1,+12.9,+0.45,+0.08,Matches
187,Ben Doak,sct,FW,Liverpool,17,2005,1,14,14,0.4,0.2,0,,0,1,14,8,1.00,0,0,0,0.00,-1.19,0.0,0.0,0.0,+0.24,-0.87,Matches
188,Lewis Dobbin,eng,MF,Everton,20,2003,12,232,19,6.8,2.6,1,65,0,11,15,16,0.92,2,3,-1,-0.39,-0.11,5.8,3.9,+1.8,+0.71,+0.79,Matches
189,Matt Doherty,ie,"DF,MF",Wolves,31,1992,30,"1,150",38,33.6,12.8,9,79,4,21,21,8,1.40,17,21,-4,-0.31,+0.12,16.3,23.8,-7.4,-0.58,-0.04,Matches
190,Jeremy Doku,be,"FW,MF",Manchester City,21,2002,29,"1,595",55,46.6,17.7,18,76,7,11,20,2,2.38,50,19,+31,+1.75,+0.22,39.7,16.7,+22.9,+1.29,+0.21,Matches
191,Nicolás Domínguez,ar,"MF,FW",Nott'ham Forest,25,1998,26,"1,495",58,43.7,16.6,19,74,3,7,12,6,0.92,16,27,-11,-0.66,-0.33,18.6,20.8,-2.2,-0.13,-0.08,Matches
192,Jamie Donley,eng,FW,Tottenham,18,2005,3,3,1,0.1,0.0,0,,0,3,1,10,2.33,0,1,-1,-30.00,-30.37,0.0,0.5,-0.5,-14.76,-14.90,Matches
193,Alfie Dorrington,eng,DF,Tottenham,18,2005,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
194,Abdoulaye Doucouré,ml,"FW,MF",Everton,30,1993,32,"2,629",82,76.9,29.2,32,82,17,0,,0,1.44,33,36,-3,-0.10,+0.81,40.3,41.8,-1.5,-0.05,-0.08,Matches
195,Cheick Doucouré,ml,MF,Crystal Palace,23,2000,11,919,84,26.9,10.2,11,84,8,0,,1,1.27,9,12,-3,-0.29,-0.37,11.1,13.1,-2.0,-0.19,-0.14,Matches
196,Alfie Doughty,eng,DF,Luton Town,23,1999,37,"2,925",79,85.5,32.5,34,84,18,3,22,0,0.70,46,74,-28,-0.86,+0.05,38.1,66.1,-28.1,-0.86,+0.50,Matches
197,Tommy Doyle,eng,MF,Wolves,21,2001,26,"1,222",47,35.7,13.6,11,82,5,15,22,6,1.08,18,24,-6,-0.44,-0.07,17.7,22.3,-4.6,-0.34,+0.33,Matches
198,Radu Drăgușin,ro,DF,Tottenham,21,2002,9,429,48,12.5,4.8,4,90,4,5,14,9,1.89,10,7,+3,+0.63,+0.33,12.8,8.3,+4.5,+0.95,+0.94,Matches
199,Martin Dúbravka,sk,GK,Newcastle Utd,34,1989,23,"1,985",86,58.0,22.1,22,90,22,1,5,14,1.48,48,42,+6,+0.27,-0.79,44.4,43.5,+0.9,+0.04,-0.82,Matches
200,Josh Duffus,eng,MF,Brighton,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
201,Paul Dummett,wls,DF,Newcastle Utd,31,1991,5,20,4,0.6,0.2,0,,0,5,4,24,2.60,0,1,-1,-4.50,-5.14,0.4,0.9,-0.5,-2.22,-2.62,Matches
