,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
720,Joe White,eng,MF,Newcastle Utd,20,2002,4,13,3,0.4,0.1,0,,0,4,3,10,1.00,2,0,+2,+13.85,+13.29,1.0,0.2,+0.8,+5.51,+5.14,Matches
721,Alfie Whiteman,eng,GK,Tottenham,24,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
722,Matthew Whittingham,eng,MF,Wolves,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
723,Joseph Whitworth,eng,GK,Crystal Palace,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
724,Neco Williams,wls,DF,Nott'ham Forest,22,2001,26,"1,637",63,47.9,18.2,18,85,14,8,13,5,0.92,23,33,-10,-0.55,-0.15,25.6,22.9,+2.7,+0.15,+0.45,Matches
725,Willian,br,FW,Fulham,34,1988,31,"2,053",66,60.0,22.8,24,77,9,7,29,2,1.29,34,28,+6,+0.26,+1.05,33.9,34.9,-1.0,-0.04,+0.69,Matches
726,Joe Willock,eng,MF,Newcastle Utd,23,1999,9,419,47,12.3,4.7,5,67,0,4,22,0,1.56,6,9,-3,-0.64,-1.42,5.7,7.9,-2.2,-0.48,-0.98,Matches
727,Callum Wilson,eng,FW,Newcastle Utd,31,1992,20,991,50,29.0,11.0,9,80,5,11,25,0,1.65,30,15,+15,+1.36,+1.07,24.2,12.3,+11.9,+1.08,+0.98,Matches
728,Harry Wilson,wls,FW,Fulham,26,1997,35,"1,620",46,47.4,18.0,16,76,5,19,22,1,1.26,21,30,-9,-0.50,-0.65,20.6,32.1,-11.5,-0.64,-0.61,Matches
729,Yoane Wissa,cd,FW,Brentford,26,1996,34,"2,493",73,72.9,27.7,29,81,9,5,30,0,0.97,40,40,0,0.00,+0.87,42.6,37.8,+4.8,+0.17,+0.43,Matches
730,Chris Wood,nz,FW,Nott'ham Forest,31,1991,31,"1,812",58,53.0,20.1,20,83,13,11,14,0,0.94,28,34,-6,-0.30,+0.37,29.5,26.5,+3.0,+0.15,+0.50,Matches
731,Cauley Woodrow,eng,"FW,MF",Luton Town,28,1994,24,427,18,12.5,4.7,2,62,0,22,14,8,0.63,10,11,-1,-0.21,+0.75,7.8,11.5,-3.7,-0.78,+0.18,Matches
732,Joe Worrall,eng,DF,Nott'ham Forest,26,1997,7,439,63,12.8,4.9,5,85,3,2,7,7,1.57,7,8,-1,-0.21,+0.31,5.1,7.2,-2.1,-0.44,-0.40,Matches
733,Jacob Wright,eng,MF,Manchester City,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
734,James Wright,eng,GK,Aston Villa,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
735,Yehor Yarmoliuk,ua,MF,Brentford,19,2004,27,688,25,20.1,7.6,6,61,0,21,15,11,1.19,13,9,+4,+0.52,+0.95,14.1,9.5,+4.6,+0.60,+0.68,Matches
736,Ryan Yates,eng,MF,Nott'ham Forest,25,1997,35,"1,992",57,58.2,22.1,21,83,14,14,18,2,1.00,31,38,-7,-0.32,+0.38,27.9,32.0,-4.1,-0.18,-0.23,Matches
737,Ashley Young,eng,"DF,MF",Everton,38,1985,31,"2,280",74,66.7,25.3,27,81,14,4,21,1,1.32,28,32,-4,-0.16,+0.39,36.5,33.1,+3.3,+0.13,+0.49,Matches
738,Kadan Young,eng,MF,Aston Villa,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
739,Illia Zabarnyi,ua,DF,Bournemouth,20,2002,37,"3,330",90,97.4,37.0,37,90,37,0,,0,1.22,51,67,-16,-0.43,-3.43,54.0,57.2,-3.2,-0.09,-1.07,Matches
740,Nicolò Zaniolo,it,"FW,MF",Aston Villa,24,1999,25,839,34,24.5,9.3,9,61,0,16,18,5,1.60,17,13,+4,+0.43,+0.05,13.1,14.7,-1.6,-0.18,-0.35,Matches
741,Anass Zaroury,ma,"FW,MF",Burnley,22,2000,6,152,25,4.4,1.7,1,67,0,5,17,7,0.17,2,4,-2,-1.18,-0.22,1.8,2.8,-1.1,-0.64,+0.15,Matches
742,Oleksandr Zinchenko,ua,DF,Arsenal,26,1996,27,"1,722",64,50.4,19.1,20,79,7,7,21,5,2.26,38,15,+23,+1.20,-0.87,38.5,12.1,+26.4,+1.38,+0.22,Matches
743,Kurt Zouma,fr,DF,West Ham,28,1994,33,"2,838",86,83.0,31.5,32,88,29,1,31,1,1.39,53,63,-10,-0.32,+0.30,43.4,59.2,-15.7,-0.50,-0.03,Matches
744,Oliwier Zych,pl,GK,Aston Villa,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
745,Martin Ødegaard,no,MF,Arsenal,24,1998,35,"3,091",88,90.4,34.3,35,88,22,0,,1,2.37,81,23,+58,+1.69,+0.59,68.6,24.9,+43.7,+1.27,+0.04,Matches
