,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
21,Zeki Amdouni,ch,FW,Burnley,22,2000,21.7,27,18,1,15,11,7,25,28.0,18,23,10,13,9,36,10,0,Matches
22,Sofyan Amrabat,ma,"MF,DF",Manchester Utd,26,1996,10.4,27,16,17,8,2,17,31,54.8,14,20,7,13,8,35,19,2,Matches
23,Joachim Andersen,dk,DF,Crystal Palace,27,1996,37.9,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1,Matches
24,Elliot Anderson,eng,"MF,FW",Newcastle Utd,20,2002,11.4,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0,Matches
25,Jaidon Anthony,eng,FW,Bournemouth,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,Matches
26,Michail Antonio,jm,FW,West Ham,33,1990,18.8,15,8,5,6,4,3,11,27.3,8,16,3,13,4,19,4,0,Matches
27,Antony,br,FW,Manchester Utd,23,2000,14.7,40,21,15,19,6,20,40,50.0,20,29,1,28,12,52,9,0,Matches
28,Oliver Arblaster,eng,MF,Sheffield Utd,19,2004,10.5,23,14,11,8,4,7,15,46.7,8,17,7,10,15,38,9,0,Matches
29,Cameron Archer,eng,"FW,MF",Sheffield Utd,22,2001,20.4,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0,Matches
30,Cameron Archer,eng,MF,Aston Villa,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
31,Alphonse Areola,fr,GK,West Ham,30,1993,30.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,16,0,Matches
32,Lorenz Assignon,tg,DF,Burnley,23,2000,13.7,35,17,18,13,4,14,27,51.9,13,22,7,15,19,54,43,1,Matches
33,Serge Aurier,ci,"DF,MF",Nott'ham Forest,30,1992,9.3,20,14,9,11,0,5,11,45.5,6,10,3,7,9,29,36,1,Matches
34,Taiwo Awoniyi,ng,FW,Nott'ham Forest,25,1997,11.6,9,7,1,4,4,1,2,50.0,1,7,2,5,1,10,9,0,Matches
35,Jordan Ayew,gh,"FW,MF",Crystal Palace,31,1991,28.3,65,36,23,28,14,21,42,50.0,21,43,2,41,16,81,15,0,Matches
36,Benoît Badiashile,fr,DF,Chelsea,22,2001,14.9,21,15,12,9,0,9,14,64.3,5,21,14,7,18,39,66,2,Matches
37,Leon Bailey,jm,"MF,FW",Aston Villa,25,1997,23.0,13,7,7,4,2,5,20,25.0,15,18,1,17,9,22,6,0,Matches
38,Stefan Bajcetic,es,MF,Liverpool,18,2004,0.3,4,1,3,1,0,3,5,60.0,2,0,0,0,0,4,0,0,Matches
