,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
185,Mark Flekken,nl,GK,Brentford,30,1993,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17,1,Matches
186,Phil Foden,eng,"FW,MF",Manchester City,23,2000,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1,Matches
187,Wes Foderingham,eng,GK,Sheffield Utd,32,1991,29.4,5,3,5,0,0,5,6,83.3,1,0,0,0,0,5,18,6,Matches
188,Pablo Fornals,es,"MF,FW",West Ham,27,1996,4.7,10,6,4,3,3,5,16,31.3,11,8,1,7,6,16,7,0,Matches
189,Omari Forson,eng,FW,Manchester Utd,19,2004,0.8,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
190,Lyle Foster,za,"FW,MF",Burnley,22,2000,21.1,19,10,5,6,8,6,17,35.3,11,13,3,10,3,22,34,0,Matches
191,Matheus França,br,"MF,FW",Crystal Palace,19,2004,2.6,3,3,2,1,0,1,7,14.3,6,4,0,4,1,4,1,0,Matches
192,Nathan Fraser,ie,FW,Wolves,18,2005,2.1,5,2,2,1,2,1,3,33.3,2,2,1,1,1,6,2,0,Matches
193,Cody Gakpo,nl,"FW,MF",Liverpool,24,1999,18.3,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7,0,Matches
194,Conor Gallagher,eng,MF,Chelsea,23,2000,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0,Matches
195,Idrissa Gana Gueye,sn,MF,Everton,33,1989,20.9,73,44,32,27,14,29,46,63.0,17,24,7,17,28,101,16,0,Matches
196,Alejandro Garnacho,ar,FW,Manchester Utd,19,2004,28.5,22,15,7,6,9,12,45,26.7,33,26,2,24,18,40,18,0,Matches
197,James Garner,eng,MF,Everton,22,2001,33.4,83,44,32,38,13,35,82,42.7,47,45,14,31,45,128,47,1,Matches
198,Saman Ghoddos,ir,DF,Brentford,29,1993,8.2,28,19,19,7,2,17,31,54.8,14,9,2,7,5,33,12,0,Matches
199,Morgan Gibbs-White,eng,"MF,FW",Nott'ham Forest,23,2000,35.1,36,24,6,20,10,14,33,42.4,19,31,8,23,17,53,21,0,Matches
200,Bryan Gil,es,"FW,MF",Tottenham,22,2001,2.3,1,0,0,0,1,1,4,25.0,3,3,0,3,3,4,4,0,Matches
201,Alfie Gilchrist,eng,DF,Chelsea,19,2003,2.3,4,0,4,0,0,2,5,40.0,3,6,3,3,3,7,11,0,Matches
202,Billy Gilmour,sct,MF,Brighton,22,2001,23.6,26,16,14,10,2,11,35,31.4,24,23,9,14,11,37,14,1,Matches
203,Ben Godfrey,eng,DF,Everton,25,1998,12.4,30,20,17,8,5,15,28,53.6,13,14,8,6,16,46,57,0,Matches
204,André Gomes,pt,"MF,FW",Everton,30,1993,5.6,7,4,2,3,2,3,13,23.1,10,10,1,9,3,10,4,1,Matches
205,João Gomes,br,MF,Wolves,22,2001,29.4,128,74,67,49,12,44,99,44.4,55,51,8,43,18,146,29,2,Matches
206,Toti Gomes,pt,DF,Wolves,24,1999,30.8,44,25,32,8,4,24,37,64.9,13,40,19,21,26,70,93,2,Matches
207,Joe Gomez,eng,DF,Liverpool,26,1997,19.8,47,31,24,16,7,30,63,47.6,33,26,4,22,19,66,50,2,Matches
208,Sergio Gómez,es,"FW,MF",Manchester City,22,2000,0.6,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches
209,Enso Gonzalez,py,"MF,DF",Wolves,18,2005,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
210,Anthony Gordon,eng,FW,Newcastle Utd,22,2001,32.1,55,34,16,28,11,22,64,34.4,42,27,0,27,7,62,7,0,Matches
211,Kaide Gordon,eng,FW,Liverpool,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
212,Daniel Gore,eng,MF,Manchester Utd,18,2004,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,Matches
213,Ryan Gravenberch,nl,MF,Liverpool,21,2002,12.5,26,12,5,13,8,12,29,41.4,17,20,2,18,14,40,11,0,Matches
214,Ivo Grbić,hr,GK,Sheffield Utd,27,1996,8.6,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,9,1,Matches
215,Jack Grealish,eng,"FW,MF",Manchester City,27,1995,11.2,13,8,6,7,0,6,12,50.0,6,13,2,11,6,19,5,0,Matches
216,Pascal Groß,de,"MF,DF",Brighton,32,1991,34.6,70,46,33,21,16,31,72,43.1,41,41,8,33,22,92,32,3,Matches
217,Marc Guéhi,eng,DF,Crystal Palace,23,2000,22.5,28,19,21,7,0,14,24,58.3,10,22,17,5,18,46,89,1,Matches
218,Bruno Guimarães,br,MF,Newcastle Utd,25,1997,36.3,88,53,45,32,11,40,77,51.9,37,52,14,38,35,123,20,0,Matches
219,Malo Gusto,fr,DF,Chelsea,20,2003,19.5,55,27,34,15,6,35,52,67.3,17,28,4,24,17,72,43,1,Matches
220,Joško Gvardiol,hr,DF,Manchester City,21,2002,25.9,55,33,21,24,10,21,38,55.3,17,36,12,24,27,82,37,3,Matches
221,Erling Haaland,no,FW,Manchester City,23,2000,28.4,6,3,0,3,3,2,3,66.7,1,11,1,10,2,8,16,0,Matches
222,Antwoine Hackford,eng,FW,Sheffield Utd,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
223,Lewis Hall,eng,DF,Newcastle Utd,18,2004,8.7,28,18,17,10,1,17,28,60.7,11,17,2,15,12,40,22,1,Matches
224,Gustavo Hamer,nl,MF,Sheffield Utd,26,1997,32.3,39,21,17,15,7,16,59,27.1,43,33,9,24,29,68,35,0,Matches
225,Luke Harris,wls,MF,Fulham,18,2005,0.8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
226,Jack Harrison,eng,"MF,FW",Everton,26,1996,24.6,37,22,12,12,13,17,49,34.7,32,25,5,20,12,49,24,0,Matches
227,Daiki Hashioka,jp,DF,Luton Town,24,1999,6.6,11,5,6,4,1,5,11,45.5,6,12,7,5,8,19,20,0,Matches
228,Kai Havertz,de,"MF,FW",Arsenal,24,1999,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0,Matches
229,Jan Paul van Hecke,nl,DF,Brighton,23,2000,26.3,47,26,25,19,3,27,45,60.0,18,49,27,22,30,77,76,4,Matches
230,Hwang Hee-chan,kr,"FW,MF",Wolves,27,1996,23.5,20,10,11,8,1,9,24,37.5,15,19,1,18,10,30,9,0,Matches
231,Dean Henderson,eng,GK,Crystal Palace,26,1997,18.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,8,2,Matches
232,Rico Henry,eng,DF,Brentford,26,1997,4.5,7,5,3,3,1,6,7,85.7,1,8,3,5,5,12,5,1,Matches
233,Son Heung-min,kr,FW,Tottenham,31,1992,32.6,21,13,6,7,8,10,21,47.6,11,4,1,3,8,29,4,0,Matches
234,Aaron Hickey,sct,DF,Brentford,21,2002,7.9,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0,Matches
235,James Hill,eng,DF,Bournemouth,21,2002,0.8,3,2,1,2,0,1,1,100.0,0,3,2,1,3,6,8,0,Matches
236,Jack Hinshelwood,eng,DF,Brighton,18,2005,9.7,14,5,7,4,3,5,13,38.5,8,6,2,4,14,28,18,0,Matches
237,Mason Holgate,eng,DF,Sheffield Utd,26,1996,7.9,12,7,5,6,1,5,12,41.7,7,12,5,7,11,23,40,0,Matches
238,Callum Hudson-Odoi,eng,"FW,MF",Nott'ham Forest,22,2000,20.6,18,8,4,5,9,7,28,25.0,21,16,1,15,7,25,12,1,Matches
239,Will Hughes,eng,MF,Crystal Palace,28,1995,21.0,61,33,30,20,11,24,48,50.0,24,36,14,22,21,82,25,0,Matches
240,Pierre Højbjerg,dk,MF,Tottenham,27,1995,14.6,32,18,13,17,2,13,34,38.2,21,21,7,14,19,51,30,3,Matches
241,Rasmus Højlund,dk,FW,Manchester Utd,20,2003,24.0,11,7,2,3,6,5,13,38.5,8,9,1,8,1,12,19,0,Matches
242,Igor,br,DF,Brighton,25,1998,18.2,25,18,7,16,2,17,29,58.6,12,22,9,13,14,39,52,1,Matches
243,Danny Ings,eng,FW,West Ham,31,1992,4.5,6,2,0,6,0,4,13,30.8,9,4,1,3,3,9,7,0,Matches
244,Tim Iroegbunam,eng,MF,Aston Villa,20,2003,1.8,7,5,4,2,1,4,9,44.4,5,3,0,3,2,9,3,0,Matches
245,Alexander Isak,se,FW,Newcastle Utd,23,1999,25.1,5,0,2,1,2,2,8,25.0,6,16,1,15,6,11,13,0,Matches
246,Alex Iwobi,ng,MF,Everton,27,1996,1.6,2,0,1,0,1,2,3,66.7,1,2,0,2,1,3,0,0,Matches
247,Alex Iwobi,ng,"FW,MF",Fulham,27,1996,24.4,29,18,12,15,2,12,25,48.0,13,16,0,16,14,43,9,0,Matches
248,Nicolas Jackson,sn,FW,Chelsea,22,2001,31.1,21,13,5,8,8,5,24,20.8,19,20,5,15,4,25,17,0,Matches
249,Reece James,eng,DF,Chelsea,23,1999,4.7,14,9,10,3,1,8,10,80.0,2,4,4,0,3,17,7,1,Matches
250,Vitaly Janelt,de,"MF,DF",Brentford,25,1998,33.9,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3,Matches
251,Daniel Jebbison,eng,FW,Sheffield Utd,19,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
252,Mathias Jensen,dk,MF,Brentford,27,1996,24.5,54,32,25,22,7,26,95,27.4,69,41,6,35,23,77,25,1,Matches
253,Gabriel Jesus,br,FW,Arsenal,26,1997,16.4,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0,Matches
254,Raúl Jiménez,mx,FW,Fulham,32,1991,15.5,18,12,4,8,6,7,20,35.0,13,11,3,8,4,22,13,0,Matches
255,João Pedro,br,"FW,MF",Brighton,21,2001,22.7,31,14,10,13,8,14,24,58.3,10,15,2,13,11,42,28,0,Matches
256,Joelinton,br,"MF,FW",Newcastle Utd,26,1996,14.2,39,27,21,15,3,14,38,36.8,24,23,7,16,19,58,11,1,Matches
257,Ryan John Giles,eng,"DF,MF",Luton Town,23,2000,5.6,8,6,4,3,1,2,7,28.6,5,2,0,2,4,12,22,0,Matches
258,Ben Johnson,eng,"DF,FW",West Ham,23,2000,6.0,11,7,7,3,1,9,14,64.3,5,2,1,1,5,16,14,0,Matches
259,Brennan Johnson,wls,FW,Tottenham,22,2001,23.2,26,15,14,5,7,12,31,38.7,19,37,1,36,10,36,12,1,Matches
260,Brennan Johnson,wls,"FW,MF",Nott'ham Forest,22,2001,2.6,4,1,1,1,2,2,4,50.0,2,4,1,3,0,4,0,0,Matches
261,Joseph Johnson,eng,DF,Luton Town,17,2006,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
262,Sam Johnstone,eng,GK,Crystal Palace,30,1993,20.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,Matches
263,Curtis Jones,eng,MF,Liverpool,22,2001,13.0,27,14,12,12,3,10,23,43.5,13,22,0,22,7,34,8,0,Matches
264,Jorginho,it,MF,Arsenal,31,1991,10.2,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1,Matches
265,Diogo Jota,pt,FW,Liverpool,26,1996,12.7,23,13,6,13,4,10,23,43.5,13,9,1,8,7,30,4,0,Matches
266,Mads Juel Andersen,dk,DF,Luton Town,25,1997,4.4,6,5,4,2,0,4,4,100.0,0,9,6,3,8,14,29,0,Matches
267,Hamed Junior Traorè,ci,MF,Bournemouth,23,2000,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0,Matches
268,Mathias Jørgensen,dk,DF,Brentford,33,1990,12.1,17,12,15,1,1,11,19,57.9,8,9,5,4,12,29,40,0,Matches
269,Issa Kaboré,bf,DF,Luton Town,22,2001,19.2,52,28,23,21,8,24,45,53.3,21,22,11,11,16,68,56,2,Matches
270,Sasa Kalajdzic,at,FW,Wolves,26,1997,1.8,6,2,3,2,1,1,2,50.0,1,3,0,3,1,7,6,0,Matches
271,Boubacar Kamara,fr,MF,Aston Villa,23,1999,18.4,43,29,16,21,6,24,47,51.1,23,21,7,14,21,64,16,0,Matches
272,Willy Kambwala,fr,DF,Manchester Utd,18,2004,3.7,3,1,1,2,0,1,3,33.3,2,6,3,3,4,7,14,1,Matches
273,Thomas Kaminski,be,GK,Luton Town,30,1992,37.8,2,1,2,0,0,2,6,33.3,4,1,0,1,0,2,14,2,Matches
274,Loris Karius,de,GK,Newcastle Utd,30,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
275,Michael Keane,eng,DF,Everton,30,1993,4.9,7,3,3,3,1,1,7,14.3,6,5,4,1,5,12,18,1,Matches
276,Thilo Kehrer,de,"DF,MF",West Ham,26,1996,0.2,1,1,0,1,0,0,0,,0,2,2,0,0,1,0,0,Matches
277,Caoimhín Kelleher,ie,GK,Liverpool,24,1998,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,Matches
278,Lloyd Kelly,eng,DF,Bournemouth,24,1998,17.3,24,19,10,9,5,14,25,56.0,11,22,12,10,13,37,67,0,Matches
279,Omari Kellyman,eng,FW,Aston Villa,17,2005,0.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
280,Milos Kerkez,hu,DF,Bournemouth,19,2003,21.9,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2,Matches
281,Kaine Kesler-Hayden,eng,"MF,DF",Aston Villa,20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
282,Max Kilman,eng,DF,Wolves,26,1997,38.0,47,21,40,6,1,24,32,75.0,8,64,37,27,39,86,182,4,Matches
283,Jakub Kiwior,pl,DF,Arsenal,23,2000,10.5,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1,Matches
284,Justin Kluivert,nl,"MF,FW",Bournemouth,24,1999,21.3,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0,Matches
285,Luca Koleosho,it,"MF,FW",Burnley,18,2004,10.8,7,4,2,5,0,2,10,20.0,8,13,0,13,2,9,0,0,Matches
286,Ibrahima Konaté,fr,DF,Liverpool,24,1999,17.5,36,22,22,13,1,18,24,75.0,6,18,12,6,20,56,51,1,Matches
287,Ezri Konsa,eng,DF,Aston Villa,25,1997,34.1,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3,Matches
288,Cheikhou Kouyaté,sn,MF,Nott'ham Forest,33,1989,2.4,8,5,3,3,2,1,4,25.0,3,4,1,3,2,10,10,0,Matches
289,Mateo Kovačić,hr,MF,Manchester City,29,1994,17.2,36,25,16,15,5,18,28,64.3,10,23,1,22,10,46,10,0,Matches
290,Emil Krafth,se,DF,Newcastle Utd,28,1994,10.1,21,14,10,7,4,12,25,48.0,13,8,3,5,9,30,21,0,Matches
291,Mohammed Kudus,gh,"FW,MF",West Ham,22,2000,27.6,65,47,27,27,11,20,40,50.0,20,25,0,25,11,76,9,1,Matches
292,Dejan Kulusevski,se,"FW,MF",Tottenham,23,2000,30.7,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1,Matches
293,Adam Lallana,eng,"MF,FW",Brighton,35,1988,9.4,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0,Matches
294,Tariq Lamptey,gh,"DF,FW",Brighton,22,2000,10.2,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0,Matches
295,Aymeric Laporte,es,DF,Manchester City,29,1994,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Matches
296,Yasser Larouci,dz,DF,Sheffield Utd,22,2001,5.9,17,9,10,5,2,10,14,71.4,4,6,1,5,7,24,20,1,Matches
297,Jamaal Lascelles,eng,DF,Newcastle Utd,29,1993,12.0,14,9,7,7,0,6,11,54.5,5,17,12,5,5,19,42,0,Matches
298,Roméo Lavia,be,MF,Chelsea,19,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
299,Mario Lemina,ga,MF,Wolves,29,1993,33.0,90,58,46,33,11,25,47,53.2,22,36,9,27,41,131,64,0,Matches
300,Clément Lenglet,fr,DF,Aston Villa,28,1995,12.8,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1,Matches
301,Bernd Leno,de,GK,Fulham,31,1992,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,Matches
302,Jefferson Lerma,co,"MF,DF",Crystal Palace,28,1994,26.7,42,25,15,23,4,19,40,47.5,21,31,12,19,36,78,72,0,Matches
303,Rico Lewis,eng,"DF,MF",Manchester City,18,2004,9.0,10,7,4,4,2,3,7,42.9,4,7,1,6,4,14,6,0,Matches
304,Keane Lewis-Potter,eng,"FW,DF",Brentford,22,2001,16.0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0,Matches
305,Victor Lindelöf,se,DF,Manchester Utd,29,1994,14.8,15,10,8,7,0,5,13,38.5,8,18,9,9,12,27,40,1,Matches
306,Valentino Livramento,eng,DF,Newcastle Utd,20,2002,14.6,23,13,15,6,2,10,21,47.6,11,16,7,9,25,48,41,1,Matches
307,Giovani Lo Celso,ar,MF,Tottenham,27,1996,5.6,22,13,10,8,4,9,14,64.3,5,4,1,3,5,27,2,0,Matches
308,Tom Lockyer,wls,DF,Luton Town,28,1994,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,Matches
309,Sean Longstaff,eng,MF,Newcastle Utd,25,1997,30.5,54,30,17,29,8,24,63,38.1,39,43,7,36,17,71,23,0,Matches
310,Max Lowe,eng,"DF,MF",Sheffield Utd,26,1997,5.6,21,10,13,5,3,8,15,53.3,7,10,4,6,5,26,15,0,Matches
311,Douglas Luiz,br,MF,Aston Villa,25,1998,33.3,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2,Matches
312,Saša Lukić,rs,MF,Fulham,26,1996,12.5,33,19,9,17,7,18,39,46.2,21,18,5,13,16,49,19,1,Matches
313,Ian Maatsen,nl,"FW,MF",Chelsea,21,2002,2.3,3,2,1,1,1,0,4,0.0,4,4,0,4,3,6,10,0,Matches
314,Alexis Mac Allister,ar,MF,Liverpool,24,1998,28.9,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1,Matches
315,James Maddison,eng,MF,Tottenham,26,1996,23.7,33,19,5,18,10,15,29,51.7,14,15,3,12,13,46,10,1,Matches
316,Noni Madueke,eng,FW,Chelsea,21,2002,11.7,16,10,8,4,4,11,34,32.4,23,11,0,11,4,20,14,0,Matches
317,Gabriel Magalhães,br,DF,Arsenal,25,1997,33.8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1,Matches
318,Harry Maguire,eng,DF,Manchester Utd,30,1993,18.4,24,17,14,10,0,12,22,54.5,10,33,24,9,25,49,83,1,Matches
319,Kobbie Mainoo,eng,MF,Manchester Utd,18,2005,21.4,47,27,20,16,11,21,45,46.7,24,20,12,8,22,69,30,1,Matches
320,Orel Mangala,be,MF,Nott'ham Forest,25,1998,17.4,27,13,16,10,1,14,29,48.3,15,12,6,6,26,53,32,0,Matches
321,Benson Manuel,ao,"MF,FW",Burnley,26,1997,1.3,3,2,2,1,0,0,0,,0,1,0,1,0,3,0,0,Matches
322,Solly March,eng,"FW,DF",Brighton,29,1994,6.2,19,14,9,7,3,8,14,57.1,6,5,0,5,11,30,8,0,Matches
323,Anthony Martial,fr,FW,Manchester Utd,27,1995,5.0,4,1,1,1,2,1,1,100.0,0,4,0,4,0,4,3,0,Matches
324,Gabriel Martinelli,br,FW,Arsenal,22,2001,22.4,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1,Matches
325,Emiliano Martínez,ar,GK,Aston Villa,30,1992,33.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,3,Matches
326,Lisandro Martínez,ar,DF,Manchester Utd,25,1998,7.2,12,8,8,4,0,5,12,41.7,7,10,8,2,5,17,26,0,Matches
327,Han-Noah Massengo,fr,"MF,DF",Burnley,22,2001,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
328,Pape Matar Sarr,sn,MF,Tottenham,20,2002,23.0,34,24,11,17,6,15,36,41.7,21,21,5,16,31,65,28,1,Matches
329,Jean-Philippe Mateta,fr,FW,Crystal Palace,26,1997,25.4,22,15,4,11,7,6,10,60.0,4,13,4,9,4,26,14,0,Matches
330,Joël Matip,cm,DF,Liverpool,31,1991,8.7,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0,Matches
331,Alex Matos,eng,MF,Chelsea,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
332,Remi Matthews,eng,GK,Crystal Palace,29,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
333,Neal Maupay,fr,FW,Brentford,26,1996,14.7,10,7,4,5,1,3,13,23.1,10,11,0,11,2,12,3,0,Matches
334,Neal Maupay,fr,FW,Everton,26,1996,1.2,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,Matches
335,Konstantinos Mavropanos,gr,DF,West Ham,25,1997,16.7,28,16,17,9,2,17,21,81.0,4,21,13,8,23,51,79,3,Matches
336,Bryan Mbeumo,cm,FW,Brentford,23,1999,21.8,15,10,6,6,3,5,19,26.3,14,26,2,24,7,22,13,0,Matches
337,James Mcatee,eng,"MF,FW",Sheffield Utd,20,2002,20.2,32,21,9,13,10,13,33,39.4,20,20,0,20,11,43,18,0,Matches
338,James Mcatee,eng,MF,Manchester City,20,2002,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
339,Oliver McBurnie,sct,FW,Sheffield Utd,27,1996,14.2,17,7,4,7,6,5,12,41.7,7,18,2,16,5,22,28,0,Matches
340,James McConnell,eng,MF,Liverpool,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
341,John McGinn,sct,"MF,FW",Aston Villa,28,1994,33.3,59,35,18,34,7,32,77,41.6,45,33,4,29,21,80,21,0,Matches
342,Scott McKenna,sct,DF,Nott'ham Forest,26,1996,4.6,4,0,3,1,0,2,3,66.7,1,6,4,2,5,9,27,0,Matches
343,Dwight McNeil,eng,"MF,FW",Everton,23,1999,32.1,44,27,16,14,14,24,55,43.6,31,44,7,37,22,66,37,0,Matches
344,Scott McTominay,sct,"MF,FW",Manchester Utd,26,1996,21.1,49,25,23,24,2,22,33,66.7,11,34,12,22,14,63,54,0,Matches
345,Ben Mee,eng,DF,Brentford,33,1989,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1,Matches
346,Hannibal Mejbri,tn,"MF,FW",Manchester Utd,20,2003,1.5,3,3,1,2,0,1,3,33.3,2,1,1,0,0,3,0,0,Matches
347,Teden Mengi,eng,DF,Luton Town,21,2002,27.4,54,22,33,20,1,19,30,63.3,11,39,27,12,57,111,140,1,Matches
348,Chris Mepham,wls,DF,Bournemouth,25,1997,6.9,12,11,9,3,0,9,14,64.3,5,13,6,7,7,19,30,1,Matches
349,Lewis Miley,eng,MF,Newcastle Utd,17,2006,13.4,33,21,6,20,7,15,32,46.9,17,20,3,17,8,41,18,2,Matches
350,James Milner,eng,"DF,MF",Brighton,37,1986,8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0,Matches
351,Tyrone Mings,eng,DF,Aston Villa,30,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
352,Tyrick Mitchell,eng,"DF,MF",Crystal Palace,23,1999,35.6,105,60,75,21,9,43,60,71.7,17,63,10,53,26,131,104,0,Matches
353,Kaoru Mitoma,jp,FW,Brighton,26,1997,16.5,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0,Matches
354,Aleksandar Mitrović,rs,FW,Fulham,28,1994,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
355,Jakub Moder,pl,"MF,DF",Brighton,24,1999,6.9,19,10,9,5,5,9,18,50.0,9,8,2,6,2,21,12,0,Matches
356,Gonzalo Montiel,ar,DF,Nott'ham Forest,26,1997,8.9,22,19,12,8,2,16,29,55.2,13,8,3,5,9,31,31,1,Matches
357,Kieffer Moore,wls,"FW,MF",Bournemouth,30,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
358,Mikey Moore,eng,MF,Tottenham,15,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
359,Álex Moreno,es,DF,Aston Villa,30,1993,11.5,18,12,18,0,0,12,19,63.2,7,11,2,9,13,31,37,0,Matches
360,Carlton Morris,eng,"FW,MF",Luton Town,27,1995,31.8,15,8,4,6,5,9,15,60.0,6,24,5,19,1,16,53,0,Matches
361,Mason Mount,eng,"MF,FW",Manchester Utd,24,1999,5.7,22,14,6,10,6,6,16,37.5,10,6,1,5,6,28,3,0,Matches
362,Divin Mubama,eng,FW,West Ham,18,2004,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
363,Mykhailo Mudryk,ua,FW,Chelsea,22,2001,17.5,21,12,9,7,5,10,32,31.3,22,14,1,13,9,30,9,0,Matches
364,Rodrigo Muniz,br,FW,Fulham,22,2001,17.7,7,3,1,5,1,1,6,16.7,5,9,3,6,6,13,20,0,Matches
365,Daniel Muñoz,co,"DF,MF",Crystal Palace,27,1996,16.0,55,35,31,14,10,19,38,50.0,19,29,7,22,24,79,47,0,Matches
366,Finley Munroe,eng,MF,Aston Villa,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
367,Arijanet Muric,xk,GK,Burnley,24,1998,10.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,4,Matches
368,Murillo,br,DF,Nott'ham Forest,21,2002,31.0,50,31,36,13,1,19,33,57.6,14,41,24,17,37,87,188,0,Matches
369,Alex Murphy,ie,"DF,FW",Newcastle Utd,19,2004,0.1,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,0,0,Matches
370,Jacob Murphy,eng,"FW,DF",Newcastle Utd,28,1995,13.2,20,10,8,4,8,12,26,46.2,14,17,0,17,6,26,16,0,Matches
371,Vitaliy Mykolenko,ua,DF,Everton,24,1999,27.4,69,38,46,21,2,41,66,62.1,25,36,11,25,36,105,92,0,Matches
372,Marvelous Nakamba,zw,MF,Luton Town,29,1994,12.6,40,24,24,14,2,24,42,57.1,18,23,6,17,11,51,11,1,Matches
373,Michael Ndiweni,eng,FW,Newcastle Utd,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
374,Reiss Nelson,eng,FW,Arsenal,23,1999,3.0,9,6,5,1,3,8,10,80.0,2,5,1,4,1,10,5,0,Matches
375,Zack Nelson,eng,"MF,DF",Luton Town,18,2004,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
376,Neto,br,GK,Bournemouth,34,1989,32.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,12,3,Matches
377,Pedro Neto,pt,"FW,MF",Wolves,23,2000,16.8,7,3,3,2,2,5,15,33.3,10,5,1,4,5,12,2,0,Matches
378,Moussa Niakhate,sn,DF,Nott'ham Forest,27,1996,16.2,42,25,33,9,0,20,25,80.0,5,19,12,7,14,56,51,0,Matches
379,Eddie Nketiah,eng,FW,Arsenal,24,1999,12.0,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0,Matches
