,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
42,Shandon Baptiste,gd,MF,Brentford,25,1998,2.5,1,0,0,3,0,0,3,3,4,0,0,0,17,3,6,33.3,Matches
43,Valentín Barco,ar,"DF,FW",Brighton,19,2004,3.4,1,0,0,7,7,0,30,4,5,0,0,0,16,1,7,12.5,Matches
44,Ross Barkley,eng,MF,Luton Town,29,1993,29.1,6,0,0,25,40,0,45,25,19,0,0,0,201,42,34,55.3,Matches
45,Harvey Barnes,eng,"FW,MF",Newcastle Utd,25,1997,8.9,2,0,0,5,21,2,12,5,1,0,0,0,43,4,8,33.3,Matches
46,Chris Basham,eng,"DF,MF",Sheffield Utd,35,1988,3.6,1,0,0,3,3,2,4,5,2,0,0,0,16,7,8,46.7,Matches
47,Calvin Bassey,ng,DF,Fulham,23,1999,25.6,6,1,1,15,11,2,3,28,29,0,1,0,171,30,25,54.5,Matches
48,Owen Beck,wls,DF,Liverpool,20,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
49,Donny van de Beek,nl,DF,Manchester Utd,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
50,Amari'i Bell,jm,DF,Luton Town,29,1994,19.1,0,0,0,22,16,0,13,25,33,0,0,0,98,20,22,47.6,Matches
51,Jean-Ricner Bellegarde,fr,"MF,FW",Wolves,25,1998,10.6,0,1,0,10,24,2,30,8,10,0,0,0,41,8,26,23.5,Matches
52,Anis Ben Slimane,tn,MF,Sheffield Utd,22,2001,4.7,2,0,0,7,6,2,0,5,6,0,0,1,35,7,18,28.0,Matches
53,Saïd Benrahma,dz,"FW,MF",West Ham,27,1995,6.9,1,0,0,5,6,1,17,5,4,0,0,0,43,1,5,16.7,Matches
54,Rodrigo Bentancur,uy,MF,Tottenham,26,1997,11.2,7,0,0,20,17,0,9,17,15,0,0,0,54,14,22,38.9,Matches
55,Daniel Bentley,eng,GK,Wolves,30,1993,4.3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Matches
56,Jóhann Berg Guðmundsson,is,"MF,FW",Burnley,32,1990,13.2,2,0,0,9,20,2,70,16,4,0,0,0,56,14,21,40.0,Matches
57,Sander Berge,no,MF,Burnley,25,1998,33.4,10,1,1,40,19,2,12,23,46,0,0,0,202,64,48,57.1,Matches
58,Luke Berry,eng,"MF,DF",Luton Town,31,1992,3.6,1,0,0,6,7,0,8,0,2,0,0,0,8,7,7,50.0,Matches
59,Beto,gw,FW,Everton,25,1998,10.6,2,0,0,21,19,10,5,1,6,0,0,0,36,47,56,45.6,Matches
60,Jordan Beyer,de,DF,Burnley,23,2000,13.7,6,0,0,11,6,0,0,16,20,0,0,0,57,28,26,51.9,Matches
61,Philip Billing,dk,MF,Bournemouth,27,1996,15.5,3,1,0,19,12,0,29,20,16,0,0,0,76,36,24,60.0,Matches
62,Yves Bissouma,ml,MF,Tottenham,26,1996,23.0,10,2,1,35,31,0,1,37,52,0,0,0,128,14,15,48.3,Matches
63,Benicio Boaitey,eng,"FW,DF",Brighton,19,2004,0.4,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,,Matches
