,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
186,Phil Foden,eng,"FW,MF",Manchester City,23,2000,31.7,2,0,0,14,60,5,89,13,20,0,1,0,127,6,17,26.1,Matches
187,Wes Foderingham,eng,GK,Sheffield Utd,32,1991,29.4,2,0,0,1,12,0,0,0,3,0,0,1,31,1,1,50.0,Matches
188,Pablo Fornals,es,"MF,FW",West Ham,27,1996,4.7,0,0,0,3,5,1,8,6,6,0,0,0,26,3,6,33.3,Matches
189,Omari Forson,eng,FW,Manchester Utd,19,2004,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
190,Lyle Foster,za,"FW,MF",Burnley,22,2000,21.1,0,1,0,24,11,14,3,3,10,0,0,0,51,50,106,32.1,Matches
191,Matheus França,br,"MF,FW",Crystal Palace,19,2004,2.6,1,0,0,6,2,2,14,1,3,1,0,0,17,1,5,16.7,Matches
192,Nathan Fraser,ie,FW,Wolves,18,2005,2.1,1,0,0,5,3,0,0,1,2,0,0,0,8,3,9,25.0,Matches
193,Cody Gakpo,nl,"FW,MF",Liverpool,24,1999,18.3,1,0,0,28,38,8,21,14,17,0,0,0,81,32,27,54.2,Matches
194,Conor Gallagher,eng,MF,Chelsea,23,2000,34.8,9,1,1,83,64,1,64,43,52,0,0,0,221,25,28,47.2,Matches
195,Idrissa Gana Gueye,sn,MF,Everton,33,1989,20.9,8,0,0,35,31,0,11,28,44,0,0,0,174,13,9,59.1,Matches
196,Alejandro Garnacho,ar,FW,Manchester Utd,19,2004,28.5,4,0,0,20,54,15,58,18,15,2,0,0,106,6,25,19.4,Matches
197,James Garner,eng,MF,Everton,22,2001,33.4,7,0,0,39,44,3,112,45,44,0,0,0,172,23,24,48.9,Matches
198,Saman Ghoddos,ir,DF,Brentford,29,1993,8.2,5,0,0,13,9,2,42,5,19,0,0,0,39,4,12,25.0,Matches
199,Morgan Gibbs-White,eng,"MF,FW",Nott'ham Forest,23,2000,35.1,9,0,0,37,57,6,182,17,24,0,0,0,179,60,68,46.9,Matches
200,Bryan Gil,es,"FW,MF",Tottenham,22,2001,2.3,0,0,0,2,3,1,11,3,0,0,0,0,16,0,3,0.0,Matches
201,Alfie Gilchrist,eng,DF,Chelsea,19,2003,2.3,1,0,0,4,0,0,1,3,0,0,0,0,9,2,4,33.3,Matches
202,Billy Gilmour,sct,MF,Brighton,22,2001,23.6,8,1,0,22,30,0,34,11,16,0,0,0,132,11,20,35.5,Matches
203,Ben Godfrey,eng,DF,Everton,25,1998,12.4,2,0,0,8,6,2,21,16,20,0,1,0,45,25,24,51.0,Matches
204,André Gomes,pt,"MF,FW",Everton,30,1993,5.6,4,0,0,17,5,0,26,3,4,0,0,0,34,1,8,11.1,Matches
205,João Gomes,br,MF,Wolves,22,2001,29.4,11,0,0,66,38,1,25,18,74,0,2,0,183,18,25,41.9,Matches
206,Toti Gomes,pt,DF,Wolves,24,1999,30.8,7,0,0,38,13,2,13,26,25,0,0,0,136,56,30,65.1,Matches
207,Joe Gomez,eng,DF,Liverpool,26,1997,19.8,5,0,0,28,16,0,39,19,31,0,0,0,111,31,10,75.6,Matches
208,Sergio Gómez,es,"FW,MF",Manchester City,22,2000,0.6,0,0,0,2,0,1,4,1,0,0,0,0,1,0,1,0.0,Matches
209,Enso Gonzalez,py,"MF,DF",Wolves,18,2005,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
210,Anthony Gordon,eng,FW,Newcastle Utd,22,2001,32.1,12,1,1,38,67,8,111,7,34,6,0,0,125,9,17,34.6,Matches
211,Kaide Gordon,eng,FW,Liverpool,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
212,Daniel Gore,eng,MF,Manchester Utd,18,2004,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,Matches
213,Ryan Gravenberch,nl,MF,Liverpool,21,2002,12.5,0,0,0,20,15,0,4,14,12,0,0,0,74,10,14,41.7,Matches
214,Ivo Grbić,hr,GK,Sheffield Utd,27,1996,8.6,1,0,0,0,2,0,0,0,0,0,0,0,6,7,0,100.0,Matches
215,Jack Grealish,eng,"FW,MF",Manchester City,27,1995,11.2,6,0,0,6,41,2,16,6,8,0,0,0,42,3,4,42.9,Matches
216,Pascal Groß,de,"MF,DF",Brighton,32,1991,34.6,6,0,0,23,27,3,238,22,46,0,1,0,144,14,17,45.2,Matches
217,Marc Guéhi,eng,DF,Crystal Palace,23,2000,22.5,2,0,0,14,26,0,3,18,19,0,0,0,120,29,29,50.0,Matches
218,Bruno Guimarães,br,MF,Newcastle Utd,25,1997,36.3,9,0,0,50,108,0,32,35,53,0,0,0,237,18,23,43.9,Matches
219,Malo Gusto,fr,DF,Chelsea,20,2003,19.5,7,1,0,22,30,6,64,17,27,0,1,0,126,8,19,29.6,Matches
220,Joško Gvardiol,hr,DF,Manchester City,21,2002,25.9,3,0,0,20,22,2,33,27,33,1,0,0,150,31,24,56.4,Matches
221,Erling Haaland,no,FW,Manchester City,23,2000,28.4,1,0,0,18,31,6,5,2,3,2,0,0,47,39,42,48.1,Matches
222,Antwoine Hackford,eng,FW,Sheffield Utd,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
223,Lewis Hall,eng,DF,Newcastle Utd,18,2004,8.7,2,0,0,5,5,0,23,12,18,0,0,0,56,10,11,47.6,Matches
224,Gustavo Hamer,nl,MF,Sheffield Utd,26,1997,32.3,9,0,0,50,17,6,115,29,21,0,1,0,162,6,16,27.3,Matches
225,Luke Harris,wls,MF,Fulham,18,2005,0.8,0,0,0,2,2,0,0,0,1,0,0,0,3,0,0,,Matches
226,Jack Harrison,eng,"MF,FW",Everton,26,1996,24.6,1,0,0,20,30,1,81,12,22,0,0,0,129,10,19,34.5,Matches
227,Daiki Hashioka,jp,DF,Luton Town,24,1999,6.6,0,0,0,10,6,0,9,8,5,0,0,2,26,12,12,50.0,Matches
228,Kai Havertz,de,"MF,FW",Arsenal,24,1999,29.3,11,0,0,49,44,15,12,20,15,1,0,0,122,102,101,50.2,Matches
229,Jan Paul van Hecke,nl,DF,Brighton,23,2000,26.3,4,0,0,14,17,0,4,30,26,0,1,0,130,66,34,66.0,Matches
230,Hwang Hee-chan,kr,"FW,MF",Wolves,27,1996,23.5,6,0,0,31,32,15,11,10,10,1,1,0,75,7,44,13.7,Matches
231,Dean Henderson,eng,GK,Crystal Palace,26,1997,18.0,2,0,0,0,2,0,0,0,1,0,0,1,14,4,0,100.0,Matches
232,Rico Henry,eng,DF,Brentford,26,1997,4.5,1,0,0,4,6,2,11,5,5,0,0,0,24,4,5,44.4,Matches
233,Son Heung-min,kr,FW,Tottenham,31,1992,32.6,1,0,0,12,39,20,36,8,13,1,1,1,80,5,16,23.8,Matches
234,Aaron Hickey,sct,DF,Brentford,21,2002,7.9,5,0,0,10,16,0,5,3,9,0,0,0,42,1,9,10.0,Matches
235,James Hill,eng,DF,Bournemouth,21,2002,0.8,0,0,0,1,0,0,0,3,2,0,0,0,7,4,1,80.0,Matches
236,Jack Hinshelwood,eng,DF,Brighton,18,2005,9.7,1,0,0,11,3,1,10,14,5,0,1,0,33,7,8,46.7,Matches
237,Mason Holgate,eng,DF,Sheffield Utd,26,1996,7.9,3,1,0,8,4,0,7,11,7,0,1,0,30,9,7,56.3,Matches
238,Callum Hudson-Odoi,eng,"FW,MF",Nott'ham Forest,22,2000,20.6,0,0,0,14,30,9,74,7,8,1,0,0,98,2,7,22.2,Matches
239,Will Hughes,eng,MF,Crystal Palace,28,1995,21.0,6,0,0,39,30,1,30,21,33,0,0,0,121,12,17,41.4,Matches
240,Pierre Højbjerg,dk,MF,Tottenham,27,1995,14.6,4,0,0,20,17,0,14,19,18,0,0,1,121,8,13,38.1,Matches
241,Rasmus Højlund,dk,FW,Manchester Utd,20,2003,24.0,2,0,0,20,30,15,6,1,7,0,1,0,60,25,65,27.8,Matches
242,Igor,br,DF,Brighton,25,1998,18.2,4,0,0,21,4,0,1,14,18,0,0,0,105,26,12,68.4,Matches
243,Danny Ings,eng,FW,West Ham,31,1992,4.5,1,0,0,4,6,1,1,3,2,1,0,0,12,3,9,25.0,Matches
244,Tim Iroegbunam,eng,MF,Aston Villa,20,2003,1.8,0,0,0,9,3,0,0,2,5,0,0,0,15,1,0,100.0,Matches
245,Alexander Isak,se,FW,Newcastle Utd,23,1999,25.1,1,0,0,14,15,17,10,6,0,1,0,0,38,10,39,20.4,Matches
246,Alex Iwobi,ng,MF,Everton,27,1996,1.6,0,0,0,0,0,3,10,1,0,0,0,0,5,0,0,,Matches
247,Alex Iwobi,ng,"FW,MF",Fulham,27,1996,24.4,2,0,0,12,5,5,60,14,18,0,0,0,145,6,19,24.0,Matches
248,Nicolas Jackson,sn,FW,Chelsea,22,2001,31.1,10,0,0,28,40,28,5,4,13,0,0,0,98,35,63,35.7,Matches
249,Reece James,eng,DF,Chelsea,23,1999,4.7,2,2,1,4,5,2,28,3,9,0,0,0,28,8,5,61.5,Matches
250,Vitaly Janelt,de,"MF,DF",Brentford,25,1998,33.9,8,0,0,27,28,3,59,36,38,1,0,0,189,34,26,56.7,Matches
251,Daniel Jebbison,eng,FW,Sheffield Utd,19,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
252,Mathias Jensen,dk,MF,Brentford,27,1996,24.5,5,0,0,28,19,2,113,23,32,1,0,0,123,5,11,31.3,Matches
253,Gabriel Jesus,br,FW,Arsenal,26,1997,16.4,6,0,0,26,32,16,9,13,17,1,0,0,59,15,38,28.3,Matches
254,Raúl Jiménez,mx,FW,Fulham,32,1991,15.5,3,1,0,17,21,12,7,4,12,0,0,0,43,44,59,42.7,Matches
255,João Pedro,br,"FW,MF",Brighton,21,2001,22.7,2,0,0,19,60,11,29,11,14,2,0,0,65,41,22,65.1,Matches
256,Joelinton,br,"MF,FW",Newcastle Utd,26,1996,14.2,6,0,0,28,23,0,2,19,27,0,0,0,85,18,31,36.7,Matches
257,Ryan John Giles,eng,"DF,MF",Luton Town,23,2000,5.6,0,0,0,2,2,0,49,4,6,0,0,0,21,3,0,100.0,Matches
258,Ben Johnson,eng,"DF,FW",West Ham,23,2000,6.0,1,0,0,3,7,1,31,5,7,0,0,0,49,7,12,36.8,Matches
259,Brennan Johnson,wls,FW,Tottenham,22,2001,23.2,3,0,0,17,29,12,68,10,15,0,0,0,75,5,16,23.8,Matches
260,Brennan Johnson,wls,"FW,MF",Nott'ham Forest,22,2001,2.6,0,0,0,1,7,1,2,0,1,0,0,0,11,1,2,33.3,Matches
261,Joseph Johnson,eng,DF,Luton Town,17,2006,0.9,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,Matches
262,Sam Johnstone,eng,GK,Crystal Palace,30,1993,20.0,1,0,0,1,0,0,0,1,0,0,1,0,13,2,1,66.7,Matches
263,Curtis Jones,eng,MF,Liverpool,22,2001,13.0,3,1,0,16,14,5,4,7,14,0,0,0,72,7,12,36.8,Matches
264,Jorginho,it,MF,Arsenal,31,1991,10.2,1,0,0,9,15,0,3,12,10,0,0,0,49,7,7,50.0,Matches
265,Diogo Jota,pt,FW,Liverpool,26,1996,12.7,3,1,1,27,21,3,9,7,13,2,0,0,48,17,38,30.9,Matches
266,Mads Juel Andersen,dk,DF,Luton Town,25,1997,4.4,1,0,0,6,2,0,0,8,5,0,0,0,25,11,5,68.8,Matches
267,Hamed Junior Traorè,ci,MF,Bournemouth,23,2000,0.5,0,0,0,0,0,0,3,0,0,0,0,0,4,1,1,50.0,Matches
268,Mathias Jørgensen,dk,DF,Brentford,33,1990,12.1,4,0,0,11,6,3,8,12,12,0,0,0,67,26,23,53.1,Matches
269,Issa Kaboré,bf,DF,Luton Town,22,2001,19.2,7,0,0,27,30,2,66,16,28,0,0,1,102,17,18,48.6,Matches
270,Sasa Kalajdzic,at,FW,Wolves,26,1997,1.8,0,0,0,6,4,2,1,1,2,0,0,0,4,8,4,66.7,Matches
271,Boubacar Kamara,fr,MF,Aston Villa,23,1999,18.4,7,1,0,35,29,0,2,21,29,0,0,0,97,19,25,43.2,Matches
272,Willy Kambwala,fr,DF,Manchester Utd,18,2004,3.7,1,0,0,4,2,0,0,4,1,0,0,0,12,6,2,75.0,Matches
273,Thomas Kaminski,be,GK,Luton Town,30,1992,37.8,3,0,0,0,3,0,0,0,1,0,0,0,63,4,0,100.0,Matches
274,Loris Karius,de,GK,Newcastle Utd,30,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
275,Michael Keane,eng,DF,Everton,30,1993,4.9,2,0,0,5,0,0,0,5,3,0,1,0,26,16,11,59.3,Matches
276,Thilo Kehrer,de,"DF,MF",West Ham,26,1996,0.2,2,0,0,2,0,0,0,0,1,0,0,0,0,1,2,33.3,Matches
277,Caoimhín Kelleher,ie,GK,Liverpool,24,1998,10.0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,100.0,Matches
278,Lloyd Kelly,eng,DF,Bournemouth,24,1998,17.3,2,0,0,17,13,0,21,13,19,0,1,0,121,28,18,60.9,Matches
279,Omari Kellyman,eng,FW,Aston Villa,17,2005,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
280,Milos Kerkez,hu,DF,Bournemouth,19,2003,21.9,4,1,0,25,21,1,55,20,26,1,0,1,93,18,31,36.7,Matches
281,Kaine Kesler-Hayden,eng,"MF,DF",Aston Villa,20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
282,Max Kilman,eng,DF,Wolves,26,1997,38.0,7,0,0,38,18,2,6,39,21,0,1,0,177,86,36,70.5,Matches
283,Jakub Kiwior,pl,DF,Arsenal,23,2000,10.5,1,0,0,10,3,0,12,8,12,0,0,0,35,15,11,57.7,Matches
284,Justin Kluivert,nl,"MF,FW",Bournemouth,24,1999,21.3,5,0,0,52,28,5,29,8,14,0,0,0,88,12,22,35.3,Matches
285,Luca Koleosho,it,"MF,FW",Burnley,18,2004,10.8,0,0,0,18,13,8,23,2,4,1,0,0,46,2,27,6.9,Matches
286,Ibrahima Konaté,fr,DF,Liverpool,24,1999,17.5,5,1,1,25,13,0,1,20,22,0,0,0,97,77,31,71.3,Matches
287,Ezri Konsa,eng,DF,Aston Villa,25,1997,34.1,5,0,0,14,64,0,17,28,32,1,1,0,142,30,14,68.2,Matches
288,Cheikhou Kouyaté,sn,MF,Nott'ham Forest,33,1989,2.4,2,0,0,6,2,0,0,2,5,0,0,0,14,10,10,50.0,Matches
289,Mateo Kovačić,hr,MF,Manchester City,29,1994,17.2,4,0,0,17,15,0,0,10,25,0,0,0,72,4,4,50.0,Matches
290,Emil Krafth,se,DF,Newcastle Utd,28,1994,10.1,2,0,0,10,7,0,17,9,14,0,0,0,44,13,15,46.4,Matches
291,Mohammed Kudus,gh,"FW,MF",West Ham,22,2000,27.6,6,0,0,39,75,16,94,11,47,1,1,0,212,15,29,34.1,Matches
292,Dejan Kulusevski,se,"FW,MF",Tottenham,23,2000,30.7,7,0,0,54,29,10,89,18,33,0,1,0,133,7,15,31.8,Matches
293,Adam Lallana,eng,"MF,FW",Brighton,35,1988,9.4,2,0,0,8,11,2,7,3,3,0,0,0,22,3,5,37.5,Matches
294,Tariq Lamptey,gh,"DF,FW",Brighton,22,2000,10.2,3,0,0,11,18,3,31,6,14,0,1,0,32,4,9,30.8,Matches
295,Aymeric Laporte,es,DF,Manchester City,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
296,Yasser Larouci,dz,DF,Sheffield Utd,22,2001,5.9,1,0,0,5,5,1,6,7,9,0,0,0,34,1,4,20.0,Matches
297,Jamaal Lascelles,eng,DF,Newcastle Utd,29,1993,12.0,4,0,0,17,2,1,1,5,9,0,0,0,53,47,24,66.2,Matches
298,Roméo Lavia,be,MF,Chelsea,19,2004,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
299,Mario Lemina,ga,MF,Wolves,29,1993,33.0,12,1,1,43,24,8,15,41,58,0,0,0,199,35,41,46.1,Matches
300,Clément Lenglet,fr,DF,Aston Villa,28,1995,12.8,3,0,0,3,12,0,3,7,9,0,0,0,37,15,11,57.7,Matches
301,Bernd Leno,de,GK,Fulham,31,1992,38.0,3,0,0,0,3,0,0,0,0,0,0,1,58,10,1,90.9,Matches
302,Jefferson Lerma,co,"MF,DF",Crystal Palace,28,1994,26.7,8,0,0,43,25,4,14,36,25,0,0,0,174,69,33,67.6,Matches
303,Rico Lewis,eng,"DF,MF",Manchester City,18,2004,9.0,1,0,0,7,20,0,1,4,7,0,0,0,42,0,6,0.0,Matches
304,Keane Lewis-Potter,eng,"FW,DF",Brentford,22,2001,16.0,0,0,0,9,18,3,50,7,7,0,0,0,62,15,22,40.5,Matches
305,Victor Lindelöf,se,DF,Manchester Utd,29,1994,14.8,2,0,0,15,2,3,1,12,10,0,0,0,75,17,24,41.5,Matches
306,Valentino Livramento,eng,DF,Newcastle Utd,20,2002,14.6,1,0,0,3,28,1,26,25,13,0,0,0,85,12,8,60.0,Matches
307,Giovani Lo Celso,ar,MF,Tottenham,27,1996,5.6,2,0,0,12,26,1,13,5,13,0,1,0,46,1,5,16.7,Matches
308,Tom Lockyer,wls,DF,Luton Town,28,1994,13.0,4,0,0,15,10,0,1,23,16,0,1,1,89,31,16,66.0,Matches
309,Sean Longstaff,eng,MF,Newcastle Utd,25,1997,30.5,7,0,0,24,34,2,25,17,30,0,0,0,120,18,22,45.0,Matches
310,Max Lowe,eng,"DF,MF",Sheffield Utd,26,1997,5.6,1,0,0,7,3,1,8,5,10,0,0,0,7,5,11,31.3,Matches
311,Douglas Luiz,br,MF,Aston Villa,25,1998,33.3,12,0,0,51,41,0,115,23,38,0,0,0,184,25,18,58.1,Matches
312,Saša Lukić,rs,MF,Fulham,26,1996,12.5,3,0,0,27,9,0,4,16,19,0,0,0,65,11,8,57.9,Matches
313,Ian Maatsen,nl,"FW,MF",Chelsea,21,2002,2.3,1,0,0,5,1,0,8,3,2,0,0,0,11,3,5,37.5,Matches
314,Alexis Mac Allister,ar,MF,Liverpool,24,1998,28.9,7,1,0,53,47,0,32,35,55,0,0,0,195,31,28,52.5,Matches
315,James Maddison,eng,MF,Tottenham,26,1996,23.7,5,0,0,21,74,2,133,13,19,0,0,0,60,3,6,33.3,Matches
316,Noni Madueke,eng,FW,Chelsea,21,2002,11.7,2,0,0,8,19,3,22,4,10,2,0,0,54,7,10,41.2,Matches
317,Gabriel Magalhães,br,DF,Arsenal,25,1997,33.8,4,0,0,35,34,1,4,31,28,0,0,1,136,77,62,55.4,Matches
318,Harry Maguire,eng,DF,Manchester Utd,30,1993,18.4,4,0,0,21,10,6,3,25,17,1,0,0,78,69,19,78.4,Matches
319,Kobbie Mainoo,eng,MF,Manchester Utd,18,2005,21.4,3,0,0,15,23,0,6,22,27,0,0,0,96,19,26,42.2,Matches
320,Orel Mangala,be,MF,Nott'ham Forest,25,1998,17.4,6,0,0,23,21,0,2,26,13,0,0,0,74,9,3,75.0,Matches
321,Benson Manuel,ao,"MF,FW",Burnley,26,1997,1.3,0,0,0,1,4,0,9,0,2,0,0,0,6,0,4,0.0,Matches
322,Solly March,eng,"FW,DF",Brighton,29,1994,6.2,1,0,0,12,8,7,21,11,14,0,0,0,36,6,4,60.0,Matches
323,Anthony Martial,fr,FW,Manchester Utd,27,1995,5.0,0,0,0,3,6,3,0,0,1,1,0,0,9,8,18,30.8,Matches
324,Gabriel Martinelli,br,FW,Arsenal,22,2001,22.4,1,0,0,23,24,9,109,5,24,0,0,0,95,15,26,36.6,Matches
325,Emiliano Martínez,ar,GK,Aston Villa,30,1992,33.5,4,0,0,1,7,0,0,0,0,0,0,2,48,5,0,100.0,Matches
326,Lisandro Martínez,ar,DF,Manchester Utd,25,1998,7.2,3,0,0,6,3,0,2,5,8,0,0,1,33,4,5,44.4,Matches
327,Han-Noah Massengo,fr,"MF,DF",Burnley,22,2001,0.2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
328,Pape Matar Sarr,sn,MF,Tottenham,20,2002,23.0,9,0,0,32,17,0,25,31,24,0,0,0,144,24,27,47.1,Matches
329,Jean-Philippe Mateta,fr,FW,Crystal Palace,26,1997,25.4,3,0,0,35,22,24,20,4,15,2,0,0,81,50,68,42.4,Matches
330,Joël Matip,cm,DF,Liverpool,31,1991,8.7,2,0,0,7,3,1,0,9,6,0,0,1,58,28,10,73.7,Matches
331,Alex Matos,eng,MF,Chelsea,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
332,Remi Matthews,eng,GK,Crystal Palace,29,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
333,Neal Maupay,fr,FW,Brentford,26,1996,14.7,8,0,0,19,26,4,8,2,7,0,0,0,60,14,41,25.5,Matches
334,Neal Maupay,fr,FW,Everton,26,1996,1.2,0,0,0,1,0,2,0,0,0,0,0,0,4,0,2,0.0,Matches
335,Konstantinos Mavropanos,gr,DF,West Ham,25,1997,16.7,2,0,0,15,10,0,1,23,16,0,0,2,70,44,23,65.7,Matches
336,Bryan Mbeumo,cm,FW,Brentford,23,1999,21.8,2,0,0,22,42,3,92,7,10,0,0,0,93,23,44,34.3,Matches
337,James Mcatee,eng,"MF,FW",Sheffield Utd,20,2002,20.2,2,0,0,15,29,1,36,11,21,0,0,0,96,10,31,24.4,Matches
338,James Mcatee,eng,MF,Manchester City,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
339,Oliver McBurnie,sct,FW,Sheffield Utd,27,1996,14.2,7,2,2,19,27,4,5,5,7,1,0,0,41,110,113,49.3,Matches
340,James McConnell,eng,MF,Liverpool,18,2004,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,Matches
341,John McGinn,sct,"MF,FW",Aston Villa,28,1994,33.3,9,1,0,39,69,2,74,21,35,0,0,0,161,9,19,32.1,Matches
342,Scott McKenna,sct,DF,Nott'ham Forest,26,1996,4.6,0,0,0,3,2,0,0,5,0,0,0,0,25,20,3,87.0,Matches
343,Dwight McNeil,eng,"MF,FW",Everton,23,1999,32.1,2,0,0,18,33,4,229,22,27,0,0,0,177,16,20,44.4,Matches
344,Scott McTominay,sct,"MF,FW",Manchester Utd,26,1996,21.1,2,0,0,29,21,6,4,14,25,0,1,0,91,36,43,45.6,Matches
345,Ben Mee,eng,DF,Brentford,33,1989,14.1,1,1,0,7,3,1,5,13,15,0,0,0,67,35,32,52.2,Matches
346,Hannibal Mejbri,tn,"MF,FW",Manchester Utd,20,2003,1.5,1,0,0,5,6,1,1,0,3,0,0,0,10,2,4,33.3,Matches
347,Teden Mengi,eng,DF,Luton Town,21,2002,27.4,3,0,0,35,7,1,2,57,22,0,1,0,126,60,43,58.3,Matches
348,Chris Mepham,wls,DF,Bournemouth,25,1997,6.9,2,0,0,15,2,0,1,7,11,0,0,0,31,29,20,59.2,Matches
349,Lewis Miley,eng,MF,Newcastle Utd,17,2006,13.4,1,0,0,5,6,2,11,8,21,0,0,0,78,11,12,47.8,Matches
350,James Milner,eng,"DF,MF",Brighton,37,1986,8.6,3,0,0,10,4,3,29,8,14,0,1,0,45,6,13,31.6,Matches
351,Tyrone Mings,eng,DF,Aston Villa,30,1993,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0,Matches
352,Tyrick Mitchell,eng,"DF,MF",Crystal Palace,23,1999,35.6,6,0,0,22,16,1,69,26,60,0,0,0,208,21,26,44.7,Matches
353,Kaoru Mitoma,jp,FW,Brighton,26,1997,16.5,4,0,0,14,23,7,44,5,6,0,0,0,68,11,11,50.0,Matches
354,Aleksandar Mitrović,rs,FW,Fulham,28,1994,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
355,Jakub Moder,pl,"MF,DF",Brighton,24,1999,6.9,2,0,0,8,5,2,6,2,10,0,0,0,40,3,5,37.5,Matches
356,Gonzalo Montiel,ar,DF,Nott'ham Forest,26,1997,8.9,5,0,0,6,1,2,16,9,19,0,1,0,42,12,8,60.0,Matches
357,Kieffer Moore,wls,"FW,MF",Bournemouth,30,1992,1.2,0,0,0,5,2,0,2,0,0,0,0,0,4,6,6,50.0,Matches
358,Mikey Moore,eng,MF,Tottenham,15,2007,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
359,Álex Moreno,es,DF,Aston Villa,30,1993,11.5,2,0,0,11,16,2,37,13,12,0,0,1,40,4,10,28.6,Matches
360,Carlton Morris,eng,"FW,MF",Luton Town,27,1995,31.8,4,0,0,49,43,9,15,1,8,0,0,0,71,133,169,44.0,Matches
361,Mason Mount,eng,"MF,FW",Manchester Utd,24,1999,5.7,2,0,0,10,9,0,14,6,14,0,0,0,37,6,9,40.0,Matches
362,Divin Mubama,eng,FW,West Ham,18,2004,0.9,0,0,0,1,1,0,0,0,0,0,0,0,4,4,5,44.4,Matches
363,Mykhailo Mudryk,ua,FW,Chelsea,22,2001,17.5,5,0,0,22,27,1,78,9,12,2,0,0,50,7,13,35.0,Matches
364,Rodrigo Muniz,br,FW,Fulham,22,2001,17.7,1,0,0,24,34,4,2,6,3,0,0,0,34,74,109,40.4,Matches
365,Daniel Muñoz,co,"DF,MF",Crystal Palace,27,1996,16.0,4,0,0,30,8,8,11,24,35,0,0,0,76,26,28,48.1,Matches
366,Finley Munroe,eng,MF,Aston Villa,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
367,Arijanet Muric,xk,GK,Burnley,24,1998,10.0,0,0,0,0,3,0,0,0,1,0,0,1,21,3,0,100.0,Matches
368,Murillo,br,DF,Nott'ham Forest,21,2002,31.0,5,0,0,38,7,0,4,37,31,0,0,1,146,38,40,48.7,Matches
369,Alex Murphy,ie,"DF,FW",Newcastle Utd,19,2004,0.1,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,,Matches
370,Jacob Murphy,eng,"FW,DF",Newcastle Utd,28,1995,13.2,1,0,0,7,15,1,77,6,10,0,0,0,66,4,10,28.6,Matches
371,Vitaliy Mykolenko,ua,DF,Everton,24,1999,27.4,1,0,0,23,9,1,56,36,38,0,0,0,142,30,27,52.6,Matches
372,Marvelous Nakamba,zw,MF,Luton Town,29,1994,12.6,5,0,0,24,9,0,4,11,24,0,0,0,90,4,7,36.4,Matches
373,Michael Ndiweni,eng,FW,Newcastle Utd,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
374,Reiss Nelson,eng,FW,Arsenal,23,1999,3.0,1,0,0,5,6,0,14,1,6,0,0,0,22,0,5,0.0,Matches
375,Zack Nelson,eng,"MF,DF",Luton Town,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
376,Neto,br,GK,Bournemouth,34,1989,32.0,5,0,0,1,0,0,0,1,0,0,0,0,38,9,0,100.0,Matches
377,Pedro Neto,pt,"FW,MF",Wolves,23,2000,16.8,4,0,0,15,21,2,115,5,3,1,0,0,79,4,18,18.2,Matches
378,Moussa Niakhate,sn,DF,Nott'ham Forest,27,1996,16.2,5,1,1,11,4,0,11,14,25,0,0,0,98,15,5,75.0,Matches
379,Eddie Nketiah,eng,FW,Arsenal,24,1999,12.0,3,0,0,24,28,8,5,4,7,2,0,0,24,23,27,46.0,Matches
